time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,
0.0,339.3204,942.8755,777.1093,-86.3829,0.1193,179.9371,0.0633,0.1675,-0.4072,0.0074,-0.0013,-0.0051,
0.012,339.3204,942.8755,777.1093,-86.3829,0.1193,179.9371,-0.0631,0.3519,-0.1506,0.0037,0.0048,-0.0071,
0.024,339.3204,942.8755,777.1093,-86.3829,0.1193,179.9371,-0.0143,0.2959,-0.0663,0.003,0.0026,-0.0081,
0.036,339.3204,942.8755,777.1093,-86.3829,0.1193,179.9371,-0.0896,0.2731,-0.3172,-0.0001,-0.0015,-0.006,
0.048,339.3204,942.8755,777.1093,-86.3829,0.1193,179.9371,-0.0814,0.2726,-0.0231,0.0073,-0.0024,-0.009,
0.06,339.3204,942.8755,777.1093,-86.3829,0.1193,179.9371,-0.0645,0.3739,-0.2785,0.0025,0.0023,-0.0077,
0.072,339.3204,942.8755,777.1093,-86.3829,0.1193,179.9371,0.0332,0.2917,-0.1937,0.0014,-0.0004,-0.0078,
0.084,339.3204,942.8755,777.1093,-86.3829,0.1193,179.9371,-0.0099,0.3421,0.0233,0.0035,-0.0042,-0.0072,
0.096,339.3204,942.8755,777.1093,-86.3829,0.1193,179.9371,0.0066,0.2791,-0.1904,-0.0017,-0.0001,-0.0062,
0.108,339.3204,942.8755,777.1093,-86.3829,0.1193,179.9371,0.0351,0.2274,-0.2789,0.0021,-0.0062,-0.0085,
0.12,339.3204,942.8755,777.1093,-86.3829,0.1193,179.9371,-0.0093,0.3992,-0.1864,0.0043,-0.0026,-0.0035,
0.132,339.319,942.8716,777.1073,-86.3829,0.1188,179.9369,-0.057,0.2896,-0.0614,0.006,-0.0019,-0.0056,
0.144,339.3204,942.8755,777.1093,-86.3829,0.1193,179.9371,-0.0704,0.2333,-0.45,-0.0021,0.0009,-0.0084,
0.156,339.3204,942.8755,777.1093,-86.3829,0.1193,179.9371,-0.0307,0.3554,-0.1481,0.0082,-0.0031,-0.0061,
0.168,339.319,942.8716,777.1073,-86.3829,0.1188,179.9369,-0.1661,0.4019,-0.3983,-0.0029,0.0034,-0.0034,
0.18,339.3196,942.8733,777.1093,-86.3829,0.1189,179.9369,0.0432,0.3138,-0.0628,0.0076,-0.0056,-0.0062,
0.192,339.3196,942.8733,777.1093,-86.3829,0.1189,179.9369,-0.2311,0.3275,-0.1869,0.0037,0.0001,-0.0055,
0.204,339.3196,942.8733,777.1093,-86.3829,0.1189,179.9369,0.0622,0.2174,-0.1107,0.0049,-0.0048,-0.0096,
0.216,339.3196,942.8733,777.1093,-86.3829,0.1189,179.9369,-0.0837,0.3565,-0.2329,0.0054,-0.0008,-0.0061,
0.228,339.319,942.8716,777.1073,-86.3829,0.1188,179.9369,0.0386,0.2612,-0.1931,0.0055,-0.0029,-0.007,
0.24,339.319,942.8716,777.1073,-86.3829,0.1188,179.9369,-0.1604,0.345,-0.3153,0.0024,0.0018,-0.0044,
0.252,339.3199,942.8739,777.1073,-86.3829,0.1191,179.937,0.0359,0.3386,-0.2373,0.0035,-0.0047,-0.0093,
0.264,339.322,942.8731,777.1073,-86.3828,0.119,179.9374,-0.1535,0.4334,-0.0136,0.0064,0.0032,-0.0023,
0.276,339.322,942.8731,777.1073,-86.3828,0.119,179.9374,0.0137,0.2171,-0.0289,0.0064,-0.0034,-0.0123,
0.288,339.3193,942.8722,777.1054,-86.3829,0.119,179.9369,-0.1615,0.3267,-0.188,0.0021,0.0068,-0.0039,
0.3,339.3214,942.8715,777.1054,-86.3828,0.1188,179.9373,0.0171,0.2948,-0.1093,0.0074,-0.0069,-0.0095,
0.312,339.3188,942.8709,777.1011,-86.3829,0.1186,179.9368,-0.1121,0.2613,-0.277,0.0027,0.0005,-0.007,
0.324,339.3198,942.8668,777.0972,-86.3828,0.1182,179.937,-0.0123,0.2522,-0.1117,0.0039,-0.0065,-0.012,
0.336,339.318,942.8619,777.0914,-86.3828,0.1177,179.9368,-0.1539,0.3929,-0.2314,0.0074,-0.0025,-0.0061,
0.348,339.3176,942.8609,777.0875,-86.3828,0.1177,179.9368,-0.0367,0.2686,-0.1495,0.0027,-0.0054,-0.0087,
0.36,339.3158,942.8559,777.0816,-86.3828,0.1172,179.9366,-0.1626,0.2588,-0.3613,0.0013,0.0003,-0.0069,
0.372,339.3141,942.8513,777.0735,-86.3839,0.1166,179.9363,0.0662,0.2956,-0.0284,0.0088,-0.0067,-0.0121,
0.384,339.3138,942.8503,777.0696,-86.3828,0.1166,179.9363,-0.1626,0.4593,-0.437,-0.0007,0.0042,0.0,
0.396,339.312,942.8453,777.0637,-86.3828,0.1161,179.9361,0.0603,0.2236,-0.4566,0.008,0.002,-0.0092,
0.408,339.3103,942.8407,777.0556,-86.3828,0.1155,179.9358,-0.0817,0.409,-0.1922,0.0075,-0.0017,-0.0077,
0.42,339.31,942.8397,777.0517,-86.3829,0.1155,179.9359,-0.1816,0.3589,-0.2242,0.0026,0.0003,-0.0012,
0.432,339.3083,942.835,777.0436,-86.3829,0.1149,179.9356,0.0413,0.2573,-0.2832,0.0099,-0.0037,-0.0093,
0.444,339.3073,942.8323,777.0377,-86.3829,0.1147,179.9355,-0.1856,0.3665,-0.4408,0.0027,0.0071,-0.001,
0.456,339.3062,942.8293,777.0316,-86.3839,0.1143,179.9353,0.0112,0.271,-0.1549,0.0041,-0.0035,-0.0112,
0.468,339.3054,942.827,777.0234,-86.3829,0.114,179.9352,-0.1645,0.32,-0.3996,-0.0009,0.0036,-0.0035,
0.48,339.3042,942.8237,777.0195,-86.3839,0.1136,179.935,-0.0342,0.2713,-0.1083,0.0057,-0.0038,-0.0088,
0.492,339.3034,942.8213,777.0114,-86.3829,0.1134,179.9349,-0.1135,0.3434,-0.482,-0.0006,-0.0004,-0.0016,
0.504,339.3022,942.818,777.0075,-86.3839,0.113,179.9348,0.0325,0.3142,-0.1588,0.0031,-0.0013,-0.0136,
0.516,339.3019,942.8173,777.0013,-86.3829,0.1129,179.9347,-0.0848,0.3053,-0.1452,0.0032,0.0001,-0.0046,
