time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,
0.0,339.5549,943.3786,777.2846,-89.9985,0.1574,179.6488,0.0825,-0.4473,0.0239,-0.0088,0.0085,0.0056,
0.012,339.5549,943.3786,777.2846,-89.9985,0.1574,179.6488,-0.0145,-0.2809,-0.0998,-0.0081,0.012,0.0083,
0.024,339.5549,943.3786,777.2846,-89.9985,0.1574,179.6488,-0.0147,-0.3108,-0.0159,-0.0085,0.0103,0.0065,
0.036,339.5549,943.3786,777.2846,-89.9985,0.1574,179.6488,-0.0698,-0.2722,-0.096,-0.0139,0.0176,0.0107,
0.048,339.5528,943.3793,777.2846,-89.9986,0.1575,179.6485,-0.0359,-0.2173,-0.0997,-0.0058,0.0096,0.0076,
0.06,339.5549,943.3786,777.2846,-89.9985,0.1574,179.6488,-0.013,-0.3592,0.1943,-0.0062,0.0137,0.0053,
0.072,339.5548,943.3783,777.2869,-89.9995,0.1576,179.6489,-0.0928,-0.3153,-0.3972,-0.0099,0.0189,0.011,
0.084,339.5541,943.3763,777.2846,-89.9985,0.1571,179.6487,0.0401,-0.3136,-0.1418,-0.0041,0.0072,0.0093,
0.096,339.5549,943.3786,777.2846,-89.9985,0.1574,179.6488,-0.1184,-0.3327,-0.2248,-0.013,0.0158,0.01,
0.108,339.5528,943.3793,777.2846,-89.9997,0.1575,179.6485,-0.0847,-0.2707,0.0746,-0.0079,0.0094,0.0089,
0.12,339.5549,943.3786,777.2846,-89.9995,0.1574,179.6488,-0.011,-0.2569,-0.0624,-0.0034,0.0111,0.005,
0.132,339.5543,943.3769,777.2827,-89.9995,0.1573,179.6488,-0.0178,-0.3554,-0.1022,-0.0091,0.0172,0.0081,
0.144,339.5549,943.3786,777.2846,-89.9995,0.1574,179.6488,-0.1109,-0.3133,-0.1351,-0.0098,0.009,0.0116,
0.156,339.5549,943.3786,777.2846,-89.9995,0.1574,179.6488,-0.0392,-0.238,0.0678,-0.0076,0.0138,0.0056,
0.168,339.5543,943.3769,777.2827,-89.9995,0.1573,179.6488,-0.0585,-0.3658,0.0282,-0.0046,0.0101,0.008,
0.18,339.5578,943.3775,777.2846,-89.9997,0.1574,179.6488,0.0294,-0.1876,-0.4075,-0.0056,0.0223,0.0062,
0.192,339.5549,943.3786,777.2846,-89.9995,0.1574,179.6488,-0.0364,-0.2978,0.0282,-0.0068,0.0097,0.0073,
0.204,339.5543,943.3769,777.2827,-89.9995,0.1573,179.6488,-0.1138,-0.3906,-0.1797,-0.0108,0.0125,0.0115,
0.216,339.5549,943.3786,777.2846,-89.9995,0.1574,179.6488,0.0867,-0.2528,0.0602,-0.0021,0.0124,0.0023,
0.228,339.5551,943.3792,777.2827,-89.9996,0.1576,179.6489,-0.1427,-0.269,-0.2238,-0.0137,0.0135,0.0093,
0.24,339.5544,943.3772,777.2804,-89.9995,0.1571,179.6487,0.0796,-0.3938,0.0228,-0.0112,0.0085,0.004,
0.252,339.5501,943.3787,777.2804,-89.9998,0.1573,179.648,-0.067,-0.2767,-0.358,-0.008,0.0177,0.0086,
0.264,339.5544,943.3772,777.2804,-89.9995,0.1571,179.6487,0.0346,-0.4738,-0.0182,-0.0076,0.01,0.0064,
0.276,339.5538,943.3756,777.2784,-89.9995,0.1569,179.6487,-0.041,-0.3672,-0.0528,-0.0106,0.0166,0.0122,
0.288,339.5538,943.3756,777.2784,-89.9995,0.1569,179.6487,-0.0627,-0.2866,-0.0116,-0.0096,0.0083,0.0082,
