time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,
0.0,339.9817,943.9163,777.2452,-89.7546,-0.1681,179.9479,-0.0001,0.1079,-0.1257,-0.0072,0.0111,-0.0189,
0.012,339.9811,943.9147,777.2432,-89.7546,-0.1682,179.9478,-0.0649,0.0247,-0.4305,-0.0171,0.0154,-0.0236,
0.024,339.9803,943.9124,777.2432,-89.7546,-0.1686,179.9477,0.0958,-0.0811,-0.1358,-0.0052,0.0128,-0.0232,
0.036,339.9817,943.9163,777.2452,-89.7546,-0.1681,179.9479,-0.0358,0.1069,-0.2572,-0.0132,0.0216,-0.0197,
0.048,339.9811,943.9147,777.2432,-89.7546,-0.1682,179.9478,0.0861,-0.0023,-0.4362,-0.0117,0.0137,-0.0252,
0.06,339.9817,943.9163,777.2452,-89.7546,-0.1681,179.9479,0.0226,0.0925,-0.0491,-0.006,0.0117,-0.0248,
0.072,339.9811,943.9147,777.2432,-89.7546,-0.1682,179.9478,0.0635,0.1298,-0.3869,-0.0115,0.0179,-0.0202,
0.084,339.9811,943.9147,777.2432,-89.7546,-0.1682,179.9478,0.1032,0.0241,-0.1803,0.002,0.0109,-0.0238,
0.096,339.9811,943.9147,777.2432,-89.7546,-0.1682,179.9478,-0.0219,0.0223,-0.3388,-0.0022,0.0183,-0.0147,
0.108,339.9782,943.9157,777.2432,-89.7545,-0.1682,179.9478,0.1662,-0.0135,-0.1833,-0.006,0.0127,-0.0263,
0.12,339.9811,943.9147,777.2432,-89.7546,-0.1682,179.9478,-0.0218,0.1056,-0.4246,-0.0012,0.0199,-0.0145,
0.132,339.9782,943.9157,777.2432,-89.7545,-0.1682,179.9478,0.2447,-0.0712,-0.3087,-0.0008,0.017,-0.0204,
0.144,339.9811,943.9147,777.2432,-89.7546,-0.1682,179.9478,0.1638,-0.1396,-0.1712,-0.012,0.0154,-0.0174,
0.156,339.9811,943.9147,777.2432,-89.7546,-0.1682,179.9478,0.0812,0.0196,-0.3402,0.0021,0.0146,-0.0146,
0.168,339.9811,943.9147,777.2432,-89.7546,-0.1682,179.9478,0.0803,-0.0319,-0.3431,0.0029,0.0172,-0.0155,
0.18,339.9811,943.9147,777.2432,-89.7546,-0.1682,179.9478,0.1867,-0.0694,-0.6072,-0.0066,0.0211,-0.0201,
0.192,339.9789,943.9154,777.2432,-89.7548,-0.1681,179.9474,0.0534,-0.0709,-0.2482,-0.0034,0.0158,-0.0107,
0.204,339.9811,943.9147,777.2432,-89.7546,-0.1682,179.9478,0.0806,0.0018,-0.3378,0.0019,0.0196,-0.0114,
0.216,339.9789,943.9154,777.2432,-89.7548,-0.1681,179.9474,0.2206,-0.0308,-0.3896,-0.0018,0.0164,-0.0178,
0.228,339.9782,943.9157,777.2432,-89.7545,-0.1682,179.9478,0.0652,0.0009,-0.6335,-0.0115,0.0207,-0.0109,
0.24,339.9789,943.9154,777.2432,-89.7548,-0.1681,179.9474,0.198,-0.1526,-0.2626,-0.0002,0.0168,-0.0182,
0.252,339.9789,943.9154,777.2432,-89.7548,-0.1681,179.9474,0.0922,-0.0129,-0.5544,-0.0073,0.0212,-0.0144,
0.264,339.9805,943.9131,777.2413,-89.7546,-0.1684,179.9477,0.1728,0.0203,-0.3049,-0.0011,0.0152,-0.0195,
0.276,339.9805,943.9131,777.2413,-89.7546,-0.1684,179.9477,-0.0587,0.0619,-0.338,-0.0136,0.0186,-0.0171,
0.288,339.9805,943.9131,777.2413,-89.7546,-0.1684,179.9477,0.1442,0.0254,-0.3935,-0.004,0.0122,-0.0235,
0.3,339.9754,943.9148,777.2413,-89.7546,-0.1683,179.9474,0.0506,0.1157,-0.3446,-0.0012,0.0173,-0.0186,
0.312,339.9787,943.9147,777.237,-89.7548,-0.1682,179.9474,-0.0374,0.0516,-0.34,-0.0153,0.0209,-0.0179,
