time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,
0.0,339.9769,944.1395,777.2526,-89.7339,0.0429,179.8943,-0.0661,-0.3171,0.0143,0.0006,-0.0065,0.0222,
0.012,339.9769,944.1395,777.2526,-89.7339,0.0429,179.8943,-0.2576,-0.2741,0.0589,0.0029,-0.0102,0.0205,
0.024,339.9774,944.1412,777.2545,-89.735,0.0431,179.8944,-0.2815,-0.0604,0.0191,0.0041,-0.0043,0.0232,
0.036,339.9769,944.1395,777.2526,-89.7339,0.0429,179.8943,-0.1088,-0.267,0.1408,0.0058,-0.0086,0.0204,
0.048,339.9767,944.1392,777.2549,-89.735,0.0431,179.8944,-0.2592,-0.1525,0.0248,0.0,-0.0045,0.0272,
0.06,339.9769,944.1395,777.2526,-89.735,0.0429,179.8943,-0.1293,-0.2822,0.2721,0.0071,-0.0109,0.0219,
0.072,339.9774,944.1412,777.2545,-89.735,0.0431,179.8944,-0.1886,-0.2157,-0.0662,0.0006,-0.001,0.0256,
0.084,339.9774,944.1412,777.2545,-89.735,0.0431,179.8944,-0.1774,-0.2021,0.2261,0.0096,-0.0096,0.0195,
0.096,339.9773,944.1409,777.2568,-89.735,0.0433,179.8944,-0.2392,-0.191,0.0205,-0.002,-0.0022,0.0247,
0.108,339.9774,944.1412,777.2545,-89.735,0.0431,179.8944,-0.0138,-0.3492,0.136,0.0046,-0.0096,0.0179,
0.12,339.9769,944.1395,777.2526,-89.735,0.0429,179.8943,-0.3938,-0.2138,0.2372,0.0098,-0.007,0.0259,
0.132,339.9769,944.1395,777.2526,-89.735,0.0429,179.8943,0.015,-0.3002,0.1883,0.0052,-0.0083,0.0254,
0.144,339.9769,944.1395,777.2526,-89.7339,0.0429,179.8943,-0.2122,-0.2048,0.0995,0.0022,-0.0016,0.0212,
0.156,339.9774,944.1412,777.2545,-89.735,0.0431,179.8944,-0.1271,-0.2531,0.2309,0.0089,-0.0101,0.0236,
0.168,339.9767,944.1392,777.2549,-89.735,0.0431,179.8944,-0.2645,-0.3099,-0.1064,-0.0019,0.0009,0.0271,
0.18,339.9774,944.1412,777.2545,-89.735,0.0431,179.8944,-0.2088,-0.3301,0.1432,0.0022,-0.0124,0.0195,
0.192,339.9774,944.1412,777.2545,-89.735,0.0431,179.8944,-0.2312,-0.1978,-0.0138,0.0009,-0.0089,0.0298,
0.204,339.9769,944.1395,777.2526,-89.735,0.0429,179.8943,-0.1631,-0.3978,0.181,0.0027,-0.0036,0.0192,
0.216,339.976,944.1373,777.2526,-89.7349,0.0426,179.8942,-0.1361,-0.2868,0.0565,0.0026,-0.0116,0.0197,
0.228,339.9769,944.1395,777.2526,-89.735,0.0429,179.8943,-0.2322,-0.2762,0.1906,0.0029,-0.0055,0.0244,
0.24,339.9768,944.1392,777.2549,-89.7339,0.0431,179.8944,-0.1312,-0.1676,0.2318,0.0055,-0.0077,0.0237,
0.252,339.9769,944.1395,777.2526,-89.735,0.0429,179.8943,-0.1634,-0.2136,-0.0652,-0.0009,-0.0089,0.0241,
0.264,339.9826,944.1374,777.2526,-89.7353,0.0429,179.8943,-0.1831,-0.2581,0.1064,0.0016,-0.0119,0.0238,
0.276,339.9784,944.1371,777.2506,-89.7348,0.0427,179.8946,-0.2106,-0.2719,-0.0186,-0.0015,-0.0116,0.0256,
0.288,339.9784,944.1371,777.2506,-89.7348,0.0427,179.8946,-0.1072,-0.2985,0.0139,0.0069,-0.011,0.0214,
0.3,339.9786,944.1378,777.2487,-89.7348,0.0429,179.8947,-0.2122,-0.1545,-0.026,0.0013,-0.0042,0.0223,
0.312,339.9781,944.1361,777.2467,-89.7348,0.0427,179.8946,-0.1608,-0.2706,0.2251,0.0028,-0.0097,0.0178,
0.324,339.9763,944.1312,777.2409,-89.7348,0.0422,179.8944,-0.2801,-0.1367,-0.195,0.0077,0.0,0.0258,
0.336,339.9751,944.1279,777.237,-89.7349,0.0419,179.8943,-0.1855,-0.3047,0.2313,0.0009,-0.0068,0.0227,
0.348,339.9741,944.1252,777.2311,-89.7349,0.0417,179.8943,-0.16,-0.2961,0.0666,-0.0004,-0.0113,0.0264,
0.36,339.9732,944.1225,777.2253,-89.7349,0.0416,179.8942,-0.1641,-0.2347,0.02,-0.0012,-0.0055,0.0247,
0.372,339.9723,944.1202,777.2171,-89.7349,0.0413,179.8941,-0.1835,-0.3124,0.0614,0.0024,-0.011,0.023,
0.384,339.9722,944.1197,777.2113,-89.7349,0.0415,179.8942,-0.1391,-0.191,-0.0284,0.0023,-0.0025,0.0223,
0.396,339.9727,944.1213,777.2051,-89.7349,0.0418,179.8943,-0.1348,-0.3664,-0.0747,0.0061,-0.0089,0.0198,
0.408,339.9726,944.1208,777.1992,-89.7339,0.042,179.8944,-0.261,-0.2948,-0.0613,-0.0017,-0.0076,0.0264,
0.42,339.9731,944.1223,777.193,-89.735,0.0422,179.8944,-0.0789,-0.2002,0.1815,0.011,-0.0099,0.0196,
0.432,339.973,944.1219,777.1872,-89.735,0.0424,179.8945,-0.2433,-0.2164,-0.2358,-0.0038,0.0005,0.0258,
0.444,339.9729,944.1218,777.179,-89.735,0.0425,179.8945,-0.1781,-0.3361,0.2746,0.0065,-0.0102,0.0234,
0.456,339.9735,944.1233,777.1729,-89.7351,0.0427,179.8946,-0.191,-0.1612,-0.0203,-0.0032,-0.0019,0.0265,
0.468,339.9733,944.1229,777.167,-89.7351,0.043,179.8947,-0.0114,-0.1823,0.1446,0.0037,-0.0099,0.0231,
0.48,339.9747,944.1266,777.1608,-89.7351,0.0436,179.8949,-0.2088,-0.2134,-0.0187,0.0007,-0.0092,0.0265,
0.492,339.9751,944.1279,777.1569,-89.7352,0.044,179.8951,-0.0166,-0.3191,0.0531,0.002,-0.0079,0.0197,
0.504,339.9748,944.1271,777.1507,-89.7352,0.0438,179.895,-0.181,-0.0826,0.0258,0.0037,-0.0055,0.029,
0.516,339.9754,944.1286,777.1445,-89.7352,0.0441,179.8951,-0.1808,-0.2227,0.1059,0.005,-0.007,0.0254,
0.528,339.9752,944.1282,777.1387,-89.7352,0.0443,179.8952,-0.1142,-0.3469,0.055,0.0018,-0.0067,0.0204,
0.54,339.975,944.1275,777.1325,-89.7352,0.0441,179.8951,-0.1415,-0.25,-0.1912,-0.0028,-0.0065,0.0267,
0.552,339.9755,944.129,777.1263,-89.7353,0.0444,179.8952,-0.104,-0.2476,0.1409,0.009,-0.0137,0.0197,
0.564,339.9761,944.1305,777.1201,-89.7353,0.0446,179.8953,-0.1647,-0.2158,-0.2405,0.0006,-0.0079,0.0218,
0.576,339.9787,944.1287,777.1139,-89.7355,0.0445,179.8953,-0.1541,-0.3299,0.1409,0.0081,-0.013,0.0195,
0.588,339.9764,944.1313,777.1077,-89.7353,0.0447,179.8954,-0.3354,-0.1605,-0.059,-0.0015,0.0006,0.0289,
0.6,339.9762,944.1308,777.0993,-89.7353,0.0444,179.8952,-0.0583,-0.3246,0.0144,0.0065,-0.0116,0.0223,
0.612,339.9769,944.1326,777.0908,-89.7354,0.0445,179.8953,-0.304,-0.1581,0.1935,0.0029,-0.0073,0.0245,
0.624,339.9767,944.1322,777.0823,-89.7354,0.0442,179.8952,-0.0682,-0.2629,-0.0303,-0.0002,-0.0057,0.0207,
0.636,339.9765,944.1318,777.0739,-89.7354,0.0439,179.8951,-0.0396,-0.3344,0.0948,0.0033,-0.0085,0.0188,
0.648,339.977,944.1329,777.0674,-89.7354,0.0437,179.895,-0.1359,-0.2239,0.0124,0.0048,-0.0058,0.0206,
0.66,339.9776,944.1348,777.0589,-89.7354,0.0438,179.895,-0.1039,-0.2109,-0.0181,0.0065,-0.0104,0.0291,
0.672,339.9783,944.1366,777.0504,-89.7355,0.0439,179.895,-0.2867,-0.3432,-0.1489,-0.0022,-0.0105,0.024,
0.684,339.9781,944.1361,777.042,-89.7355,0.0436,179.8949,-0.1606,-0.2674,0.1422,0.0028,-0.008,0.0204,
0.696,339.9788,944.1379,777.0335,-89.7355,0.0436,179.895,-0.1962,-0.2236,-0.1898,-0.0084,-0.0059,0.0259,
0.708,339.9779,944.1355,777.0254,-89.7355,0.0433,179.8949,-0.1342,-0.2487,0.0981,0.006,-0.0049,0.0213,
0.72,339.9786,944.1373,777.0169,-89.7355,0.0434,179.8949,-0.2119,-0.2308,0.066,-0.0011,-0.0033,0.0271,
