time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,
0.0,339.522,944.1319,772.0769,-131.4702,-0.0004,179.9997,3.6738,-8.3696,-27.9415,1.1222,0.8363,0.142,
0.012,339.5219,944.1317,772.0792,-131.4713,-0.0002,179.9996,3.6255,-8.3001,-27.3811,1.1155,0.8257,0.1389,
0.024,339.5218,944.1314,772.0814,-131.4723,0.0,179.9995,3.6929,-8.1114,-26.8122,1.0983,0.8084,0.1388,
0.036,339.524,944.1284,772.0818,-131.4736,0.0,179.9995,3.4139,-8.0263,-26.3275,1.0803,0.8021,0.1391,
0.048,339.5202,944.1269,772.0841,-131.4744,-0.0002,179.9996,3.3491,-8.0633,-26.4135,1.086,0.7895,0.136,
0.06,339.5201,944.1267,772.0863,-131.4766,-0.0001,179.9995,3.3017,-8.1505,-26.8474,1.0925,0.7912,0.1339,
0.072,339.52,944.1267,772.0863,-131.4797,-0.0001,179.9995,3.3245,-7.9578,-26.152,1.0799,0.777,0.1335,
0.084,339.5199,944.1265,772.0886,-131.4871,0.0001,179.9995,3.0388,-8.0534,-25.5803,1.0761,0.7669,0.1375,
0.096,339.5191,944.1249,772.0867,-131.503,-0.0001,179.9995,3.2981,-7.9361,-25.3736,1.0666,0.7593,0.1302,
0.108,339.5215,944.1239,772.089,-131.5443,0.0001,179.9995,2.89,-7.6678,-25.4502,1.0706,0.7554,0.1305,
0.12,339.5211,944.1243,772.089,-131.595,0.0001,179.9995,2.8148,-7.8323,-25.3327,1.0672,0.7339,0.1155,
0.132,339.5201,944.1247,772.0912,-131.6921,0.0003,179.9994,2.3116,-7.9401,-25.4083,1.0668,0.7014,0.1082,
0.144,339.5189,944.1257,772.0912,-131.8188,0.0003,179.9994,2.0075,-7.9684,-24.5349,1.0818,0.6629,0.1089,
0.156,339.517,944.125,772.0893,-131.9529,0.0001,179.9995,1.8776,-7.6257,-24.5495,1.0206,0.6618,0.113,
0.168,339.5176,944.1226,772.0916,-132.1061,-0.0001,179.9996,1.5514,-8.086,-23.7044,1.0886,0.607,0.1016,
0.18,339.5162,944.1245,772.0896,-132.2867,0.0001,179.9995,1.5017,-7.7202,-24.1288,1.0513,0.6355,0.1023,
0.192,339.5134,944.1234,772.0919,-132.4841,-0.0001,179.9996,1.3598,-7.9609,-23.7866,1.071,0.6132,0.0992,
0.204,339.5115,944.125,772.0919,-132.6942,-0.0001,179.9996,1.3668,-7.8192,-23.7687,1.0504,0.6203,0.1093,
0.216,339.5116,944.1241,772.09,-132.9351,-0.0003,179.9996,1.1558,-7.905,-23.3018,1.0959,0.5937,0.1061,
0.228,339.5115,944.1231,772.0903,-133.1876,-0.0003,179.9996,0.8756,-7.7684,-23.1043,1.0533,0.5931,0.1119,
0.24,339.5093,944.125,772.0903,-133.4357,-0.0003,179.9996,1.1904,-7.985,-23.4263,1.0621,0.6033,0.1054,
0.252,339.5106,944.1278,772.0926,-133.6818,0.0002,179.9994,0.8748,-7.7843,-22.5848,1.0845,0.5604,0.1132,
0.264,339.5078,944.128,772.0906,-133.932,0.0001,179.9995,1.0478,-7.5411,-22.9697,1.0454,0.568,0.1084,
0.276,339.5078,944.1269,772.091,-134.1719,0.0001,179.9995,0.7641,-7.711,-22.3177,1.0661,0.5539,0.113,
0.288,339.5107,944.1244,772.091,-134.4087,-0.0003,179.9997,0.7833,-7.4986,-22.2339,1.0388,0.5515,0.1042,
0.3,339.5087,944.1266,772.0913,-134.6441,0.0001,179.9995,0.5572,-7.6226,-22.0399,1.0602,0.5133,0.1125,
0.312,339.5095,944.1274,772.0913,-134.884,0.0001,179.9995,0.5996,-7.4377,-22.2994,1.0161,0.53,0.1056,
0.324,339.5087,944.1241,772.0917,-135.1312,-0.0003,179.9997,0.3107,-7.4946,-21.7826,1.0532,0.4958,0.1025,
0.336,339.5096,944.1256,772.0897,-135.3784,-0.0001,179.9996,0.3058,-7.1978,-21.8494,0.9972,0.4917,0.1017,
0.348,339.5103,944.1263,772.092,-135.6225,0.0001,179.9995,0.3504,-7.4985,-21.3866,1.0366,0.4876,0.1047,
0.36,339.5105,944.1255,772.09,-135.8665,-0.0001,179.9996,0.2752,-7.186,-22.112,0.9959,0.4946,0.0979,
0.372,339.5105,944.1245,772.0904,-136.1106,-0.0001,179.9996,0.2214,-7.2912,-21.5919,1.0021,0.4677,0.0957,
0.384,339.5137,944.1227,772.0884,-136.3506,-0.0003,179.9997,-0.0509,-7.1883,-21.0301,0.9918,0.4571,0.0901,
0.396,339.5143,944.1233,772.0907,-136.5946,-0.0001,179.9996,0.0491,-6.9667,-21.2382,0.969,0.4496,0.0877,
0.408,339.5145,944.1223,772.0911,-136.8302,-0.0001,179.9996,0.0525,-6.9893,-20.7577,0.9613,0.4301,0.0874,
0.42,339.514,944.1193,772.0891,-137.069,-0.0006,179.9999,0.0411,-6.7244,-20.9158,0.9258,0.433,0.0889,
0.432,339.5149,944.1205,772.0894,-137.3109,-0.0003,179.9997,-0.2382,-6.8746,-20.4834,0.9498,0.4005,0.085,
0.444,339.5158,944.1215,772.0894,-137.5487,-0.0003,179.9997,-0.0612,-6.4692,-20.8911,0.886,0.411,0.0898,
0.456,339.516,944.1204,772.0898,-137.7853,-0.0003,179.9997,-0.101,-6.7216,-20.3271,0.9024,0.3757,0.0892,
0.468,339.5161,944.1195,772.0901,-138.0273,-0.0003,179.9997,-0.3802,-6.3283,-20.7074,0.8553,0.4008,0.0848,
0.48,339.5164,944.1188,772.0882,-138.2681,-0.0004,179.9998,-0.1387,-6.4764,-20.4972,0.8696,0.379,0.0823,
0.492,339.5172,944.1195,772.0905,-138.509,-0.0003,179.9997,-0.0399,-5.9449,-20.2397,0.846,0.3768,0.0754,
0.504,339.518,944.1202,772.0927,-138.7468,-0.0001,179.9996,-0.1123,-6.1935,-20.1867,0.8402,0.3646,0.0785,
0.516,339.5178,944.1178,772.0888,-138.9771,-0.0004,179.9998,-0.0322,-6.0539,-19.9034,0.815,0.3732,0.095,
0.528,339.5151,944.1179,772.0892,-139.2178,-0.0004,179.9998,-0.0498,-5.9675,-19.4891,0.8354,0.3272,0.0753,
0.54,339.5159,944.1187,772.0915,-139.465,-0.0003,179.9997,-0.0699,-5.802,-20.0332,0.7763,0.3479,0.077,
0.552,339.5192,944.1173,772.0872,-139.7113,-0.0006,179.9999,-0.1382,-5.653,-19.4703,0.7708,0.3274,0.0726,
0.564,339.5164,944.1172,772.0899,-139.9542,-0.0004,179.9998,-0.3605,-5.6352,-19.6031,0.7937,0.3276,0.0717,
0.576,339.5195,944.1153,772.0902,-140.2005,-0.0004,179.9998,-0.0482,-5.2996,-19.5399,0.7094,0.307,0.0648,
0.588,339.517,944.1157,772.0882,-140.4412,-0.0006,179.9999,-0.5009,-5.6452,-19.2253,0.7133,0.3069,0.0727,
0.6,339.5173,944.1148,772.0886,-140.6789,-0.0006,179.9999,-0.0909,-5.174,-19.1476,0.708,0.2971,0.0654,
0.612,339.5176,944.1142,772.0866,-140.9188,-0.0007,-180.0,-0.4691,-5.1165,-19.269,0.7168,0.2889,0.0654,
0.624,339.5185,944.115,772.0889,-141.1565,-0.0006,180.0,0.031,-5.0131,-19.0069,0.6546,0.2825,0.0594,
0.636,339.5189,944.1141,772.0893,-141.3942,-0.0006,180.0,-0.5596,-4.9088,-18.8953,0.6793,0.2499,0.0668,
0.648,339.5193,944.1135,772.0873,-141.6351,-0.0007,-179.9999,-0.331,-4.7258,-18.6848,0.6423,0.2501,0.058,
0.66,339.5204,944.1149,772.0876,-141.8739,-0.0004,179.9999,-0.3922,-4.8443,-18.8872,0.6232,0.2274,0.0561,
0.672,339.5208,944.114,772.088,-142.1084,-0.0004,179.9999,-0.5341,-4.6542,-18.5074,0.6077,0.2387,0.049,
0.684,339.5182,944.1142,772.0883,-142.3491,-0.0004,179.9999,-0.806,-4.3392,-18.6625,0.5942,0.2095,0.045,
0.696,339.5186,944.1137,772.0864,-142.5921,-0.0006,180.0,-0.3997,-4.4426,-18.4639,0.5907,0.2157,0.0398,
0.708,339.5196,944.1145,772.0886,-142.832,-0.0004,179.9999,-0.56,-4.2113,-18.6807,0.5388,0.1943,0.0493,
0.72,339.5193,944.112,772.087,-143.0707,-0.0006,180.0,-0.7666,-4.4039,-18.1326,0.5695,0.1786,0.0432,
0.732,339.5199,944.1114,772.0851,-143.3011,-0.0007,-179.9999,-0.6098,-3.9806,-18.6721,0.5328,0.1845,0.0498,
0.744,339.5203,944.1106,772.0854,-143.5367,-0.0007,-179.9999,-0.6486,-3.9872,-18.17,0.5386,0.1647,0.036,
0.756,339.5206,944.1099,772.0858,-143.7818,-0.0007,-179.9999,-0.9237,-3.6986,-17.998,0.4846,0.1193,0.0387,
