time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,
0.0,339.4902,943.8195,776.8801,-86.3879,-0.1993,179.3715,-0.0758,-0.5799,-0.2457,-0.0112,0.0168,-0.0123,
0.012,339.4902,943.8195,776.8801,-86.3879,-0.1993,179.3715,-0.1087,-0.6172,-0.3349,-0.0161,0.0214,-0.0148,
0.024,339.4902,943.8195,776.8801,-86.3879,-0.1993,179.3715,-0.1994,-0.68,-0.2882,-0.0122,0.0167,-0.0133,
0.036,339.4902,943.8195,776.8801,-86.3879,-0.1993,179.3715,-0.1985,-0.6631,-0.2428,-0.0106,0.0259,-0.0085,
0.048,339.4902,943.8195,776.8801,-86.3879,-0.1993,179.3715,-0.1042,-0.6751,-0.2897,-0.0138,0.0181,-0.0132,
0.06,339.4902,943.8195,776.8801,-86.3879,-0.1993,179.3715,-0.0889,-0.6286,-0.4561,-0.0222,0.0212,-0.0104,
0.072,339.4902,943.8195,776.8801,-86.3879,-0.1993,179.3715,-0.1737,-0.596,-0.2093,-0.0069,0.0272,-0.0143,
0.084,339.4902,943.8195,776.8801,-86.3879,-0.1993,179.3715,-0.2549,-0.5286,-0.413,-0.0163,0.0272,-0.0098,
0.096,339.4902,943.8195,776.8801,-86.3879,-0.1993,179.3715,-0.0495,-0.5645,-0.2069,-0.0081,0.0181,-0.014,
0.108,339.4902,943.8195,776.8801,-86.3879,-0.1993,179.3715,-0.1569,-0.5298,-0.2841,-0.0179,0.0235,-0.0099,
0.12,339.4902,943.8195,776.8801,-86.3879,-0.1993,179.3715,-0.1238,-0.7133,-0.0775,-0.0098,0.0192,-0.0137,
0.132,339.4902,943.8195,776.8801,-86.3879,-0.1993,179.3715,-0.2304,-0.6251,-0.3722,-0.016,0.0262,-0.0108,
0.144,339.4902,943.8195,776.8801,-86.3879,-0.1993,179.3715,-0.098,-0.6773,0.0102,-0.0109,0.0146,-0.0136,
0.156,339.4902,943.8195,776.8801,-86.3879,-0.1993,179.3715,-0.1627,-0.6635,-0.243,-0.0226,0.0254,-0.0109,
0.168,339.4911,943.8217,776.8801,-86.3879,-0.199,179.3717,-0.0074,-0.6691,-0.172,-0.011,0.0219,-0.0184,
0.18,339.4902,943.8195,776.8801,-86.3879,-0.1993,179.3715,-0.2358,-0.6532,-0.0676,-0.0253,0.0228,-0.0103,
0.192,339.4902,943.8195,776.8801,-86.3879,-0.1993,179.3715,-0.014,-0.7233,-0.2966,-0.0176,0.0221,-0.0166,
0.204,339.4902,943.8195,776.8801,-86.3879,-0.1993,179.3715,-0.1287,-0.6023,-0.206,-0.013,0.0216,-0.0142,
0.216,339.4902,943.8195,776.8801,-86.3879,-0.1993,179.3715,-0.1238,-0.663,-0.203,-0.0107,0.0166,-0.0125,
0.228,339.4902,943.8195,776.8801,-86.3879,-0.1993,179.3715,-0.1596,-0.5928,-0.3296,-0.0202,0.0194,-0.0131,
0.24,339.4911,943.8217,776.8801,-86.3879,-0.199,179.3717,-0.063,-0.5601,-0.5006,-0.0199,0.0216,-0.0111,
0.252,339.4911,943.8217,776.8801,-86.3879,-0.199,179.3717,-0.0988,-0.7318,-0.1162,-0.0116,0.0147,-0.0119,
0.264,339.4905,943.8201,776.8782,-86.3879,-0.1991,179.3716,-0.2499,-0.4819,-0.4483,-0.0157,0.0203,-0.0063,
0.276,339.4905,943.8201,776.8782,-86.3879,-0.1991,179.3716,-0.0307,-0.604,-0.2491,-0.0131,0.0188,-0.014,
0.288,339.4905,943.8201,776.8782,-86.3879,-0.1991,179.3716,-0.1089,-0.5304,-0.413,-0.018,0.0229,-0.0096,
0.3,339.4899,943.8184,776.8762,-86.3879,-0.1993,179.3715,-0.102,-0.6697,-0.2064,-0.0108,0.0214,-0.0134,
0.312,339.4908,943.821,776.8739,-86.3879,-0.1991,179.3716,-0.2364,-0.5777,-0.413,-0.0229,0.022,-0.0122,
0.324,339.4931,943.8183,776.872,-86.3881,-0.1992,179.3715,-0.2031,-0.6978,-0.0786,-0.014,0.0226,-0.0154,
0.336,339.4926,943.8192,776.87,-86.3878,-0.1992,179.372,-0.1298,-0.5472,-0.5006,-0.0137,0.0224,-0.0104,
0.348,339.492,943.8176,776.8681,-86.3878,-0.1994,179.3719,-0.0844,-0.7343,-0.3339,-0.0161,0.0238,-0.0125,
0.36,339.4914,943.8159,776.8661,-86.3878,-0.1995,179.3718,-0.326,-0.4659,-0.1969,-0.0169,0.0237,-0.0109,
0.372,339.4916,943.8165,776.8642,-86.3878,-0.1993,179.3719,-0.0331,-0.6008,-0.4216,-0.013,0.0222,-0.0138,
0.384,339.491,943.8149,776.8622,-86.3878,-0.1995,179.3718,-0.1323,-0.71,-0.3295,-0.0172,0.0218,-0.0108,
0.396,339.4908,943.8141,776.856,-86.3878,-0.1996,179.3718,-0.1976,-0.5643,-0.2011,-0.0109,0.0198,-0.0117,
0.408,339.4904,943.8131,776.8521,-86.3878,-0.1996,179.3718,-0.1284,-0.7151,-0.1614,-0.0143,0.0184,-0.0135,
0.42,339.4893,943.8101,776.846,-86.3878,-0.2001,179.3716,-0.2083,-0.6676,-0.4575,-0.018,0.0252,-0.0107,
0.432,339.489,943.8091,776.8421,-86.3879,-0.2,179.3716,-0.1501,-0.5921,-0.204,-0.0113,0.0193,-0.0133,
0.444,339.4887,943.8083,776.8359,-86.3879,-0.2002,179.3716,-0.2593,-0.5868,-0.3306,-0.02,0.0256,-0.0133,
0.456,339.4877,943.8057,776.83,-86.3879,-0.2003,179.3715,-0.0729,-0.7136,-0.0353,-0.0084,0.0177,-0.0137,
0.468,339.4868,943.803,776.8242,-86.3879,-0.2004,179.3714,-0.2513,-0.5072,-0.3272,-0.0145,0.0229,-0.0107,
0.48,339.4865,943.8022,776.818,-86.3879,-0.2006,179.3714,-0.1284,-0.6282,0.0483,-0.0133,0.0215,-0.0162,
0.492,339.488,943.8063,776.8121,-86.388,-0.1996,179.3718,-0.2053,-0.6106,-0.3713,-0.0159,0.0259,-0.0099,
0.504,339.4894,943.8101,776.8059,-86.388,-0.1991,179.3721,-0.126,-0.6324,-0.1231,-0.0104,0.0199,-0.016,
0.516,339.49,943.8119,776.7974,-86.3881,-0.199,179.3721,-0.158,-0.6747,-0.331,-0.0182,0.0195,-0.0132,
0.528,339.4908,943.814,776.7892,-86.3881,-0.1986,179.3723,-0.1764,-0.6045,-0.1193,-0.0129,0.0204,-0.0143,
0.54,339.4917,943.8164,776.7788,-86.3882,-0.1983,179.3724,-0.1581,-0.6213,-0.3329,-0.0176,0.0195,-0.0148,
0.552,339.4924,943.8182,776.7703,-86.3882,-0.1983,179.3724,-0.1315,-0.6827,-0.3741,-0.0154,0.0226,-0.0116,
0.564,339.4929,943.8197,776.7641,-86.3882,-0.198,179.3725,-0.1576,-0.6178,-0.3344,-0.0161,0.022,-0.0149,
0.576,339.4944,943.8238,776.7556,-86.3883,-0.1976,179.3727,-0.1246,-0.6041,-0.1207,-0.01,0.0199,-0.0143,
0.588,339.4945,943.8239,776.7451,-86.3883,-0.1977,179.3726,-0.1799,-0.6556,-0.3276,-0.0164,0.0223,-0.01,
0.6,339.4981,943.8247,776.7367,-86.3885,-0.1977,179.3727,-0.085,-0.6311,-0.3363,-0.0163,0.0211,-0.0156,
0.612,339.495,943.8253,776.7282,-86.3883,-0.198,179.3726,-0.1731,-0.5571,-0.2878,-0.0108,0.0162,-0.0131,
0.624,339.4943,943.8232,776.7178,-86.3884,-0.1984,179.3724,-0.1099,-0.6685,-0.2472,-0.0182,0.0223,-0.0133,
0.636,339.4949,943.825,776.7093,-86.3884,-0.1984,179.3724,-0.1026,-0.5932,-0.2079,-0.0114,0.0188,-0.0158,
0.648,339.4985,943.8257,776.7008,-86.3886,-0.1983,179.3724,-0.2323,-0.579,-0.1557,-0.0214,0.0193,-0.0126,
0.66,339.4956,943.8267,776.6927,-86.3885,-0.1982,179.3724,-0.047,-0.5948,-0.2054,-0.007,0.0156,-0.0132,
0.672,339.4954,943.8262,776.6842,-86.3885,-0.1985,179.3723,-0.1785,-0.4936,-0.5365,-0.0159,0.0212,-0.0069,
0.684,339.4974,943.8228,776.6761,-86.3887,-0.1988,179.3722,-0.1255,-0.6053,-0.249,-0.01,0.0199,-0.0141,
0.696,339.498,943.8243,776.6699,-86.3887,-0.1986,179.3723,-0.3029,-0.5813,-0.2822,-0.0169,0.0278,-0.0085,
0.708,339.4981,943.8244,776.6594,-86.3887,-0.1987,179.3722,-0.1013,-0.6215,-0.1207,-0.0117,0.0171,-0.0151,
0.72,339.4949,943.8247,776.6533,-86.3886,-0.1988,179.3722,-0.2014,-0.5555,-0.2802,-0.0152,0.024,-0.0066,
0.732,339.4979,943.8239,776.6428,-86.3888,-0.1989,179.3722,-0.1017,-0.6783,-0.1173,-0.0139,0.0146,-0.0134,
0.744,339.4968,943.8209,776.6367,-86.3888,-0.1994,179.3719,-0.3267,-0.5141,-0.2827,-0.016,0.028,-0.0092,
0.756,339.4982,943.8246,776.6304,-86.3888,-0.1988,179.3722,-0.1479,-0.6463,-0.1594,-0.0104,0.0185,-0.0118,
0.768,339.495,943.8249,776.6243,-86.3887,-0.199,179.3721,-0.1089,-0.5541,-0.2885,-0.0168,0.0255,-0.0115,
0.78,339.4985,943.8254,776.6181,-86.3889,-0.1987,179.3722,-0.1363,-0.5772,-0.2899,-0.0201,0.0208,-0.0148,
0.792,339.4953,943.8257,776.6119,-86.3887,-0.1989,179.3722,-0.1038,-0.5916,-0.2941,-0.0114,0.0205,-0.0157,
0.804,339.4987,943.8262,776.6057,-86.3889,-0.1986,179.3723,-0.2108,-0.6702,-0.4987,-0.021,0.0235,-0.0106,
0.816,339.498,943.8241,776.5953,-86.3889,-0.1991,179.3721,-0.0278,-0.6895,0.0561,-0.0156,0.0129,-0.0119,
0.828,339.4983,943.825,776.591,-86.3889,-0.1991,179.3721,-0.3042,-0.5861,-0.4091,-0.0184,0.0253,-0.0082,
0.84,339.4975,943.8226,776.5829,-86.389,-0.1994,179.372,-0.1231,-0.5823,-0.2495,-0.0082,0.0173,-0.0149,
0.852,339.498,943.8241,776.5767,-86.389,-0.1991,179.3721,-0.2538,-0.5365,-0.3674,-0.0178,0.0213,-0.0098,
0.864,339.4978,943.8233,776.5705,-86.389,-0.1993,179.372,-0.2002,-0.7005,-0.0311,-0.014,0.0192,-0.0129,
0.876,339.4975,943.8226,776.5643,-86.389,-0.1994,179.372,-0.1832,-0.6264,-0.4575,-0.0176,0.0248,-0.0106,
0.888,339.4952,943.8251,776.5581,-86.3889,-0.1992,179.3721,0.0244,-0.6594,-0.1197,-0.0094,0.0157,-0.0125,
0.9,339.4986,943.8256,776.5519,-86.3891,-0.1989,179.3722,-0.2816,-0.6245,-0.3238,-0.0204,0.0259,-0.0084,
0.912,339.4978,943.8232,776.5438,-86.388,-0.1992,179.372,-0.0791,-0.6843,-0.1643,-0.0125,0.0203,-0.0143,
0.924,339.4983,943.8247,776.5376,-86.3891,-0.199,179.3721,-0.2043,-0.582,-0.2783,-0.0185,0.0241,-0.0058,
0.936,339.4981,943.824,776.5314,-86.3881,-0.1991,179.3721,-0.1967,-0.7007,-0.3289,-0.0095,0.0201,-0.01,
0.948,339.4986,943.8255,776.5252,-86.3881,-0.1989,179.3722,-0.3315,-0.5767,-0.5428,-0.0182,0.0257,-0.0122,
0.96,339.4983,943.8247,776.519,-86.3892,-0.1991,179.3721,-0.062,-0.5828,-0.6261,-0.0187,0.0242,-0.0077,
0.972,339.4981,943.824,776.5128,-86.3882,-0.1992,179.3721,-0.1521,-0.5912,-0.2467,-0.0128,0.0202,-0.0133,
0.984,339.4978,943.8233,776.5066,-86.3892,-0.1993,179.372,-0.1098,-0.6149,-0.4556,-0.019,0.0214,-0.0096,
0.996,339.4984,943.8248,776.5004,-86.3882,-0.1991,179.3721,-0.08,-0.6317,-0.1227,-0.0134,0.0194,-0.0159,
1.008,339.4981,943.824,776.4942,-86.3893,-0.1992,179.3721,-0.3008,-0.5827,-0.4115,-0.0139,0.0278,-0.0083,
1.02,339.4987,943.8255,776.488,-86.3882,-0.199,179.3722,-0.073,-0.6069,-0.0392,-0.0072,0.0176,-0.0168,
1.032,339.4978,943.8231,776.4799,-86.3893,-0.1993,179.372,-0.21,-0.6423,-0.3713,-0.0207,0.0234,-0.0116,
1.044,339.4975,943.8224,776.4737,-86.3893,-0.1994,179.372,-0.2927,-0.5392,-0.2835,-0.0089,0.0201,-0.01,
1.056,339.4981,943.8239,776.4675,-86.3883,-0.1992,179.3721,-0.1135,-0.7166,-0.332,-0.0203,0.0266,-0.0117,
1.068,339.4976,943.8226,776.4633,-86.3883,-0.1995,179.3719,-0.0746,-0.7752,-0.1588,-0.0121,0.0128,-0.0118,
1.08,339.4976,943.8224,776.4552,-86.3883,-0.1995,179.372,-0.1532,-0.5356,-0.3693,-0.015,0.0201,-0.0097,
1.092,339.4979,943.8233,776.4509,-86.3894,-0.1994,179.372,-0.0994,-0.6528,-0.1661,-0.0091,0.0155,-0.0167,
1.104,339.4979,943.8232,776.4428,-86.3884,-0.1994,179.372,-0.2123,-0.6087,-0.4556,-0.0218,0.0276,-0.0098,
1.116,339.4982,943.8241,776.4385,-86.3884,-0.1993,179.372,-0.0946,-0.5137,-0.2045,-0.0059,0.0161,-0.0132,
1.128,339.5008,943.8223,776.4323,-86.3886,-0.1995,179.372,-0.2833,-0.5998,-0.4096,-0.0216,0.0251,-0.009,
1.14,339.4977,943.8226,776.4262,-86.3884,-0.1996,179.3719,0.0436,-0.6986,-0.0805,-0.0129,0.0172,-0.0151,
1.152,339.4996,943.8211,776.42,-86.3883,-0.1999,179.3722,-0.2754,-0.5172,-0.2826,-0.0146,0.0249,-0.0091,
1.164,339.4978,943.8228,776.4157,-86.3885,-0.1997,179.3719,-0.131,-0.7481,-0.2907,-0.0162,0.016,-0.015,
1.176,339.4983,943.8243,776.4095,-86.3885,-0.1995,179.372,-0.1529,-0.4427,-0.4973,-0.0124,0.0276,-0.007,
1.188,339.4989,943.8258,776.4033,-86.3885,-0.1992,179.3721,-0.0953,-0.5378,-0.2428,-0.0077,0.0169,-0.0098,
1.2,339.4986,943.825,776.3971,-86.3885,-0.1994,179.372,-0.1087,-0.6104,-0.41,-0.019,0.023,-0.0072,
1.212,339.4992,943.8265,776.3909,-86.3886,-0.1992,179.3721,-0.1295,-0.6564,-0.1605,-0.0151,0.0208,-0.0126,
1.224,339.4981,943.8235,776.3848,-86.3886,-0.1996,179.3719,-0.08,-0.6526,-0.5407,-0.0135,0.0228,-0.0071,
1.236,339.5013,943.8234,776.3805,-86.3898,-0.1996,179.3719,-0.1342,-0.6053,-0.4182,-0.0174,0.0208,-0.0138,
1.248,339.501,943.8226,776.3743,-86.3888,-0.1997,179.3719,-0.1291,-0.669,-0.251,-0.0137,0.015,-0.0174,
1.26,339.5008,943.8219,776.3682,-86.3888,-0.1999,179.3718,-0.2221,-0.6291,-0.3735,-0.0086,0.0236,-0.0108,
1.272,339.5005,943.8212,776.362,-86.3888,-0.2,179.3717,-0.1241,-0.6869,-0.1599,-0.011,0.0183,-0.0118,
1.284,339.5011,943.8227,776.3558,-86.3888,-0.1998,179.3718,-0.21,-0.6187,-0.4958,-0.0219,0.0209,-0.0096,
1.296,339.5016,943.8242,776.3496,-86.3889,-0.1995,179.3719,-0.1229,-0.7131,-0.293,-0.0068,0.0209,-0.0134,
1.308,339.5008,943.8218,776.3414,-86.3889,-0.1998,179.3718,-0.2292,-0.5738,-0.4599,-0.0139,0.0253,-0.0123,
