time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,
0.0,339.0169,944.4183,776.6257,-89.9984,0.5824,179.7213,0.084,-0.3277,0.0058,-0.0087,0.0146,0.0124,
0.012,339.0168,944.418,776.628,-89.9984,0.5826,179.7213,0.0894,-0.1132,0.2242,-0.0076,0.01,0.0132,
0.024,339.0168,944.418,776.628,-89.9984,0.5826,179.7213,0.1234,-0.2326,0.2273,-0.0001,0.0098,0.0181,
0.036,339.0169,944.4183,776.6257,-89.9973,0.5824,179.7213,0.1616,-0.2583,0.1318,-0.005,0.0136,0.0115,
0.048,339.0169,944.4183,776.6257,-89.9984,0.5824,179.7213,0.2237,-0.2648,0.3921,0.0023,0.0053,0.0138,
0.06,339.0169,944.4183,776.6257,-89.9984,0.5824,179.7213,-0.0357,-0.1993,-0.1924,-0.0098,0.0175,0.0227,
0.072,339.0162,944.4164,776.626,-89.9984,0.5824,179.7213,0.1938,-0.275,0.2665,-0.0023,0.0082,0.0155,
0.084,339.0163,944.4167,776.6238,-89.9984,0.5823,179.7212,0.1102,-0.228,0.0149,-0.0105,0.0141,0.0183,
0.096,339.0169,944.4183,776.6257,-89.9984,0.5824,179.7213,0.2173,-0.2388,0.346,-0.0019,0.0062,0.0105,
0.108,339.0169,944.4183,776.6257,-89.9984,0.5824,179.7213,-0.0388,-0.2354,0.1394,-0.0119,0.0133,0.0131,
0.12,339.0169,944.4183,776.6257,-89.9984,0.5824,179.7213,0.223,-0.2089,0.3508,0.0015,0.0061,0.0147,
0.132,339.0169,944.4183,776.6257,-89.9984,0.5824,179.7213,0.0971,-0.2208,0.3595,-0.0044,0.0075,0.0188,
0.144,339.0163,944.4167,776.6238,-89.9984,0.5823,179.7212,0.2442,-0.1397,0.174,0.0023,0.0091,0.0117,
0.156,339.0163,944.4167,776.6238,-89.9984,0.5823,179.7212,0.121,-0.1718,0.3139,-0.0024,0.013,0.0188,
