time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,
0.0,340.6215,943.7885,777.5887,-89.998,0.088,179.8765,0.0372,-0.1834,0.0422,-0.0007,0.0121,0.0073,
0.012,340.6215,943.7885,777.5887,-89.998,0.088,179.8765,0.0552,-0.1974,-0.1294,-0.0053,0.0128,0.0067,
0.024,340.6215,943.7885,777.5887,-89.998,0.088,179.8765,0.0121,-0.257,0.1745,-0.0045,0.0075,0.0079,
0.036,340.6215,943.7885,777.5887,-89.998,0.088,179.8765,-0.0769,-0.1419,0.0107,0.0031,0.0118,0.0148,
0.048,340.6221,943.7901,777.5907,-89.998,0.0882,179.8766,0.1395,-0.2401,0.0863,0.0015,0.0077,0.009,
0.06,340.6221,943.7901,777.5907,-89.998,0.0882,179.8766,0.0077,-0.223,-0.1245,-0.0055,0.0134,0.01,
0.072,340.6215,943.7885,777.5887,-89.998,0.088,179.8765,0.0163,-0.3387,0.2627,-0.0025,0.0058,0.0102,
0.084,340.6221,943.7901,777.5907,-89.998,0.0882,179.8766,0.0008,-0.2147,-0.1682,-0.0099,0.0193,0.01,
0.096,340.6221,943.7901,777.5907,-89.998,0.0882,179.8766,0.0954,-0.2943,0.393,0.0009,0.0048,0.0126,
0.108,340.6221,943.7901,777.5907,-89.998,0.0882,179.8766,-0.0327,-0.2233,0.1357,-0.001,0.0113,0.0121,
0.12,340.6221,943.7901,777.5907,-89.998,0.0882,179.8766,0.1563,-0.3122,0.0776,-0.0024,0.0076,0.0023,
0.132,340.6215,943.7885,777.5887,-89.998,0.088,179.8765,-0.0862,-0.1126,0.0891,-0.0026,0.0151,0.0089,
0.144,340.6221,943.7901,777.5907,-89.998,0.0882,179.8766,0.0383,-0.2924,-0.121,-0.0019,0.0107,0.0133,
0.156,340.6221,943.7901,777.5907,-89.998,0.0882,179.8766,-0.0434,-0.2317,0.0475,-0.01,0.0081,0.0073,
0.168,340.6221,943.7901,777.5907,-89.998,0.0882,179.8766,0.1379,-0.2352,0.2142,0.0,0.0102,0.0088,
