time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,
0.0,339.4805,944.1041,771.7651,-131.0986,0.0001,179.9995,2.2853,-8.8912,-31.3614,1.09,0.4912,0.1848,
0.012,339.4832,944.1028,771.7674,-131.0999,0.0003,179.9994,2.2162,-8.7773,-31.524,1.0706,0.4951,0.1869,
0.024,339.4832,944.1028,771.7674,-131.1009,0.0003,179.9994,2.5422,-8.8059,-31.4565,1.0846,0.4998,0.1818,
0.036,339.4831,944.1025,771.7697,-131.102,0.0005,179.9993,2.0629,-8.882,-31.9124,1.1144,0.5024,0.1951,
0.048,339.4831,944.1026,771.7697,-131.103,0.0005,179.9993,2.1201,-8.8268,-31.0992,1.088,0.4728,0.1806,
0.06,339.4824,944.1006,771.77,-131.1062,0.0005,179.9993,2.1388,-8.5816,-30.6563,1.0551,0.4836,0.1861,
0.072,339.4815,944.0985,771.77,-131.1199,0.0001,179.9995,2.1128,-8.6949,-30.6989,1.0553,0.49,0.1884,
0.084,339.481,944.0985,771.7723,-131.1547,0.0003,179.9994,1.7852,-8.686,-30.3565,1.0618,0.4669,0.1789,
0.096,339.4863,944.0968,771.7723,-131.2089,0.0003,179.9994,1.9354,-8.6434,-30.8939,1.0561,0.4753,0.1648,
0.108,339.4825,944.0981,771.7746,-131.2932,0.0004,179.9993,1.8606,-8.4913,-30.7752,1.0715,0.4383,0.1487,
0.12,339.4814,944.0991,771.7746,-131.4167,0.0004,179.9993,1.6074,-8.4441,-29.9529,1.0544,0.4325,0.1459,
0.132,339.4796,944.0987,771.7704,-131.5508,0.0001,179.9995,1.4009,-8.2991,-29.3979,1.0399,0.4235,0.1354,
0.144,339.4781,944.0995,771.7727,-131.7081,0.0003,179.9994,1.6033,-8.1122,-29.6042,1.0226,0.425,0.1395,
0.156,339.4786,944.0979,771.773,-131.8888,0.0003,179.9994,1.5024,-8.4803,-29.4499,1.0884,0.4112,0.1378,
0.168,339.4766,944.0987,771.7749,-132.082,0.0001,179.9995,1.4632,-8.0887,-29.9586,1.0365,0.431,0.134,
0.18,339.4746,944.1004,771.7749,-132.3016,0.0001,179.9995,1.5752,-8.2036,-28.6943,1.0704,0.4297,0.1269,
0.192,339.4746,944.0991,771.7753,-132.5383,0.0001,179.9995,1.1324,-8.0051,-29.0047,1.0334,0.4135,0.1319,
0.204,339.4723,944.101,771.7753,-132.7906,0.0001,179.9995,1.2662,-8.3103,-28.4994,1.0637,0.4049,0.1326,
