time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,
0.0,339.6249,943.9578,771.8484,-125.6504,-0.0002,179.9995,-0.8971,-7.7932,-34.8479,0.6888,-0.091,0.1671,
0.012,339.6234,943.9537,771.8487,-125.6515,-0.0006,179.9996,-1.1132,-7.6779,-35.1793,0.6907,-0.0919,0.1725,
0.024,339.6258,943.9513,771.8471,-125.6538,-0.0004,179.9996,-0.9198,-7.9384,-35.1945,0.6917,-0.1013,0.1626,
0.036,339.6261,943.9524,771.851,-125.6548,-0.0004,179.9996,-1.4652,-7.7232,-34.9954,0.6952,-0.1087,0.1739,
0.048,339.6255,943.9507,771.8491,-125.6559,-0.0006,179.9996,-1.2682,-7.5272,-34.7003,0.6719,-0.1174,0.1642,
0.06,339.6254,943.9504,771.8513,-125.6559,-0.0004,179.9996,-1.2451,-7.5328,-34.8723,0.6733,-0.1117,0.166,
0.072,339.6283,943.9494,771.8513,-125.6571,-0.0004,179.9996,-1.3435,-7.627,-34.6112,0.6843,-0.1457,0.161,
0.084,339.6277,943.9478,771.8494,-125.6634,-0.0006,179.9996,-1.502,-7.5178,-34.6022,0.6709,-0.1441,0.1627,
0.096,339.6274,943.9476,771.8517,-125.6814,-0.0004,179.9996,-1.2927,-7.5278,-34.5733,0.6659,-0.1423,0.1545,
0.108,339.6299,943.9468,771.8517,-125.7174,-0.0004,179.9996,-1.4567,-7.4647,-34.6507,0.67,-0.1438,0.1587,
0.12,339.6295,943.9471,771.8517,-125.7628,-0.0004,179.9996,-1.6593,-7.3477,-34.2293,0.6582,-0.1678,0.1412,
0.132,339.6315,943.9466,771.8517,-125.8464,-0.0004,179.9996,-1.8389,-7.4575,-33.966,0.6628,-0.1638,0.1147,
0.144,339.6302,943.9474,771.8517,-125.9805,-0.0004,179.9996,-1.9903,-7.4348,-34.3253,0.6648,-0.1728,0.0987,
0.156,339.6315,943.9471,771.854,-126.1295,-0.0002,179.9995,-1.7696,-7.1967,-33.9098,0.6507,-0.1466,0.0948,
0.168,339.63,943.948,771.854,-126.2795,-0.0002,179.9995,-1.8624,-7.0524,-33.9065,0.6556,-0.1407,0.0981,
0.18,339.6305,943.9465,771.852,-126.4591,-0.0004,179.9996,-1.7428,-7.0041,-33.1653,0.6601,-0.1348,0.0796,
0.192,339.6285,943.9478,771.852,-126.6629,-0.0004,179.9996,-1.9777,-7.0105,-33.5861,0.6695,-0.1335,0.0849,
0.204,339.6293,943.9482,771.852,-126.8774,-0.0004,179.9996,-1.5549,-6.5904,-33.0056,0.6364,-0.1236,0.0692,
0.216,339.6298,943.9487,771.852,-127.1172,-0.0004,179.9996,-1.8444,-6.4777,-33.0589,0.647,-0.1119,0.0631,
0.228,339.6296,943.9477,771.8501,-127.3718,-0.0006,179.9997,-1.7388,-6.6151,-32.2916,0.6689,-0.1281,0.0621,
0.24,339.6299,943.9481,771.8523,-127.6275,-0.0004,179.9996,-1.8033,-6.3435,-32.5559,0.6604,-0.1227,0.0544,
0.252,339.6304,943.9487,771.8523,-127.8715,-0.0004,179.9996,-1.412,-6.2293,-32.0425,0.6386,-0.1051,0.058,
0.264,339.631,943.9493,771.8523,-128.1156,-0.0004,179.9996,-1.6595,-5.9598,-32.0421,0.6333,-0.1177,0.0493,
0.276,339.6309,943.9482,771.8504,-128.3533,-0.0006,179.9997,-1.7269,-6.0107,-31.7571,0.6416,-0.1202,0.0388,
0.288,339.6314,943.9486,771.8527,-128.5994,-0.0004,179.9996,-1.7489,-5.7331,-31.7917,0.5958,-0.1248,0.0321,
0.3,339.632,943.9491,771.8527,-128.8382,-0.0004,179.9996,-1.5644,-5.5881,-31.8043,0.6151,-0.112,0.0321,
0.312,339.632,943.9481,771.8507,-129.0759,-0.0006,179.9997,-1.4977,-5.5627,-31.455,0.581,-0.1173,0.0286,
0.324,339.6326,943.9487,771.8507,-129.3137,-0.0006,179.9997,-2.0353,-5.5357,-31.91,0.6017,-0.1167,0.0388,
0.336,339.633,943.9491,771.853,-129.5588,-0.0004,179.9996,-1.5841,-5.4971,-31.542,0.5909,-0.1247,0.0264,
