time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,
0.0,339.0865,943.1267,776.6916,-89.7533,0.5548,-179.6785,0.0397,-0.1282,-0.0905,-0.0157,0.0307,0.0092,
0.012,339.0865,943.1267,776.6916,-89.7533,0.5548,-179.6785,0.136,-0.2305,0.3362,0.0008,0.0213,0.0103,
0.024,339.0865,943.1267,776.6916,-89.7533,0.5548,-179.6785,-0.0292,-0.0399,-0.2111,-0.0144,0.0264,0.0129,
0.036,339.0865,943.1267,776.6916,-89.7533,0.5548,-179.6785,0.1573,-0.1904,0.2087,-0.0017,0.021,0.0106,
0.048,339.0865,943.1267,776.6916,-89.7533,0.5548,-179.6785,0.0414,-0.1478,0.216,0.002,0.0223,0.0155,
0.06,339.0865,943.1267,776.6916,-89.7533,0.5548,-179.6785,0.022,-0.2578,-0.1343,-0.0098,0.0269,0.0092,
0.072,339.0865,943.1267,776.6916,-89.7533,0.5548,-179.6785,0.076,-0.2367,0.2905,-0.0082,0.0203,0.0054,
0.084,339.0865,943.1267,776.6916,-89.7533,0.5548,-179.6785,0.0266,-0.1122,-0.0414,-0.008,0.03,0.015,
0.096,339.0865,943.1267,776.6916,-89.7533,0.5548,-179.6785,0.1544,-0.1143,0.0271,0.0007,0.0218,0.0034,
0.108,339.0865,943.1267,776.6916,-89.7533,0.5548,-179.6785,-0.0236,-0.0898,0.175,-0.0121,0.0263,0.0139,
0.12,339.0865,943.1267,776.6916,-89.7533,0.5548,-179.6785,0.2048,-0.2778,0.1671,-0.0043,0.0164,0.0107,
0.132,339.0865,943.1267,776.6916,-89.7533,0.5548,-179.6785,0.072,-0.0616,-0.0415,-0.0119,0.0268,0.0135,
0.144,339.0865,943.1267,776.6916,-89.7533,0.5548,-179.6785,0.1327,-0.1772,0.2537,-0.003,0.0204,0.0114,
0.156,339.0865,943.1267,776.6916,-89.7533,0.5548,-179.6785,0.0719,-0.1962,-0.1741,-0.0091,0.0296,0.0126,
0.168,339.0865,943.1267,776.6916,-89.7533,0.5548,-179.6785,0.0428,-0.2182,-0.1368,-0.0123,0.0266,0.0068,
0.18,339.0865,943.1267,776.6916,-89.7533,0.5548,-179.6785,0.1373,-0.176,0.1656,0.003,0.0221,0.0114,
0.192,339.0859,943.1251,776.6897,-89.7533,0.5546,-179.6786,0.0962,-0.1558,-0.1306,-0.0101,0.0284,0.0126,
0.204,339.0859,943.1251,776.6897,-89.7533,0.5546,-179.6786,0.1002,-0.2806,0.076,-0.0072,0.0193,0.0057,
0.216,339.0865,943.1267,776.6916,-89.7533,0.5548,-179.6785,0.0574,-0.1305,0.0899,-0.0053,0.0246,0.0165,
0.228,339.0859,943.1251,776.6897,-89.7533,0.5546,-179.6786,0.1557,-0.1692,0.1153,0.0,0.0202,0.0049,
0.24,339.086,943.1254,776.6874,-89.7533,0.5545,-179.6786,0.0031,-0.0477,-0.0841,-0.0072,0.0285,0.0143,
0.252,339.086,943.1254,776.6874,-89.7533,0.5545,-179.6786,0.0851,-0.2066,0.1695,-0.0018,0.0202,0.0122,
0.264,339.086,943.1254,776.6874,-89.7533,0.5545,-179.6786,0.0963,-0.1352,-0.0908,-0.0099,0.025,0.0093,
