time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,
0.0,339.4634,944.1998,771.7779,-129.6643,-0.0012,179.9999,4.8167,-7.8121,-37.0962,0.6346,0.5743,0.224,
0.012,339.4627,944.1978,771.7783,-129.6653,-0.0012,179.9999,4.7604,-7.7813,-37.139,0.6291,0.5782,0.2232,
0.024,339.462,944.1959,771.7786,-129.6653,-0.0012,179.9999,4.7586,-7.7314,-36.8334,0.6222,0.5722,0.2238,
0.036,339.4619,944.1956,771.7809,-129.6664,-0.001,179.9999,4.4737,-7.7407,-37.2095,0.6257,0.5555,0.2236,
0.048,339.4618,944.1956,771.7809,-129.6706,-0.001,179.9999,4.6145,-7.7376,-36.8653,0.6165,0.552,0.2233,
0.06,339.461,944.1938,771.7812,-129.6833,-0.001,179.9999,4.4302,-7.719,-36.4742,0.6215,0.5465,0.2244,
0.072,339.4606,944.1938,771.7835,-129.7192,-0.0008,179.9998,4.5858,-7.7079,-36.7345,0.6095,0.5447,0.2208,
0.084,339.4596,944.1924,771.7816,-129.7614,-0.001,179.9999,4.3776,-7.6602,-36.7008,0.6222,0.5388,0.2124,
0.096,339.4623,944.1936,771.7835,-129.8408,-0.0008,179.9998,4.0967,-7.7343,-36.6895,0.6216,0.5338,0.1848,
0.108,339.4604,944.1925,771.7838,-129.9664,-0.0008,179.9998,3.687,-7.8298,-36.4736,0.6361,0.4818,0.1699,
0.12,339.4619,944.1922,771.7861,-130.1059,-0.0007,179.9997,3.1524,-7.545,-36.9942,0.6184,0.4282,0.1701,
0.132,339.4568,944.1924,771.7865,-130.2599,-0.0007,179.9997,3.2638,-7.4427,-36.165,0.5937,0.4423,0.149,
0.144,339.4551,944.1937,771.7865,-130.4404,-0.0007,179.9998,2.4487,-7.5586,-36.2683,0.6282,0.3642,0.1439,
0.156,339.456,944.1938,771.7887,-130.6401,-0.0005,179.9997,2.5688,-7.2737,-35.9279,0.6075,0.3856,0.1435,
0.168,339.4533,944.1938,771.7868,-130.8682,-0.0007,179.9998,2.2158,-7.6707,-36.2723,0.6212,0.3772,0.1409,
0.18,339.451,944.1952,771.7891,-131.1068,-0.0005,179.9997,2.3652,-7.2908,-35.1536,0.6119,0.3652,0.1384,
0.192,339.4508,944.1941,771.7894,-131.3624,-0.0005,179.9997,2.3118,-7.3479,-35.7508,0.6115,0.3678,0.1408,
0.204,339.4513,944.195,771.7894,-131.6202,-0.0005,179.9997,1.924,-7.4796,-35.2752,0.6448,0.3231,0.1345,
0.216,339.4483,944.1949,771.7897,-131.8683,-0.0005,179.9997,1.8984,-7.4961,-35.2602,0.6208,0.3434,0.1458,
0.228,339.4482,944.1937,771.7901,-132.1081,-0.0005,179.9997,1.6135,-7.6106,-34.903,0.6334,0.2974,0.1432,
0.24,339.4489,944.1944,771.7901,-132.3533,-0.0005,179.9997,1.9894,-7.3344,-34.6582,0.6047,0.32,0.1374,
0.252,339.4489,944.1933,771.7904,-132.5941,-0.0005,179.9997,1.6493,-7.5282,-34.9473,0.6389,0.2726,0.1364,
0.264,339.4496,944.194,771.7904,-132.8361,-0.0005,179.9997,1.4556,-7.1566,-34.6824,0.6153,0.2766,0.1339,
0.276,339.4496,944.1929,771.7908,-133.077,-0.0005,179.9997,1.3721,-7.3038,-33.9987,0.639,0.2417,0.1273,
0.288,339.4496,944.1917,771.7911,-133.3157,-0.0005,179.9998,1.4852,-7.1455,-33.6966,0.6078,0.2516,0.1255,
