time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,
0.0,339.0257,943.3454,777.269,-89.9979,-0.4795,179.7177,-0.2543,-0.172,0.0235,0.0056,0.0049,0.0145,
0.012,339.0251,943.3438,777.267,-89.9969,-0.4797,179.7176,-0.2085,-0.1179,0.022,0.0031,0.0043,0.013,
0.024,339.0251,943.3438,777.267,-89.9979,-0.4797,179.7177,-0.3012,-0.0698,-0.0607,0.0069,0.002,0.014,
0.036,339.0251,943.3438,777.267,-89.9979,-0.4797,179.7177,-0.149,-0.0983,0.0198,0.0123,-0.0014,0.0123,
0.048,339.0251,943.3438,777.267,-89.9979,-0.4797,179.7177,-0.282,-0.1121,-0.1451,0.0019,0.001,0.0141,
0.06,339.0251,943.3438,777.267,-89.9969,-0.4797,179.7176,-0.0491,-0.0749,0.0528,0.0168,-0.0034,0.0066,
0.072,339.0251,943.3438,777.267,-89.9979,-0.4797,179.7177,-0.3571,-0.1182,0.1528,0.0004,0.006,0.0127,
0.084,339.0251,943.3438,777.267,-89.9979,-0.4797,179.7177,-0.2309,-0.0588,-0.0235,0.0054,0.0003,0.0099,
0.096,339.0251,943.3438,777.267,-89.9979,-0.4797,179.7177,-0.1489,-0.125,0.0208,0.0119,-0.0014,0.0131,
0.108,339.0251,943.3438,777.267,-89.9969,-0.4797,179.7176,-0.2355,-0.0749,-0.1064,0.0022,0.0071,0.0132,
0.12,339.0251,943.3438,777.267,-89.9979,-0.4797,179.7177,-0.155,-0.2117,0.0193,0.0064,-0.0037,0.0106,
0.132,339.0251,943.3438,777.267,-89.9979,-0.4797,179.7177,-0.2534,-0.0875,0.0661,0.0066,0.0065,0.0146,
0.144,339.0251,943.3438,777.267,-89.9979,-0.4797,179.7177,-0.2247,-0.1024,0.1064,0.0108,0.0053,0.0137,
0.156,339.0251,943.3438,777.267,-89.9979,-0.4797,179.7177,-0.2302,0.0317,-0.0216,0.0065,0.0052,0.0124,
0.168,339.0251,943.3438,777.267,-89.9979,-0.4797,179.7177,-0.0829,-0.1299,0.0565,0.0087,0.0045,0.0097,
0.18,339.0251,943.3438,777.267,-89.9979,-0.4797,179.7177,-0.3041,-0.1199,0.0657,0.0048,0.0046,0.0129,
0.192,339.0257,943.3454,777.269,-89.9979,-0.4795,179.7177,-0.2327,0.0019,-0.2338,0.0047,0.0045,0.0135,
0.204,339.0251,943.3438,777.267,-89.9979,-0.4797,179.7177,-0.1071,-0.1461,0.0604,0.0071,0.0023,0.0114,
0.216,339.0251,943.3438,777.267,-89.9979,-0.4797,179.7177,-0.3213,-0.112,-0.019,0.0109,0.0015,0.0138,
0.228,339.0251,943.3438,777.267,-89.9979,-0.4797,179.7177,-0.1582,-0.1758,0.102,0.0053,0.0021,0.0096,
0.24,339.0251,943.3438,777.267,-89.9979,-0.4797,179.7177,-0.2326,-0.075,-0.1073,0.0052,0.0071,0.0132,
0.252,339.0251,943.3438,777.267,-89.9979,-0.4797,179.7177,-0.2216,-0.0584,0.0207,0.0129,-0.0006,0.0123,
0.264,339.0253,943.3444,777.2651,-89.998,-0.4795,179.7177,-0.3286,-0.1276,-0.0196,0.0062,0.0091,0.0145,
0.276,339.0253,943.3444,777.2651,-89.998,-0.4795,179.7177,-0.1599,-0.1505,0.1882,0.0026,0.0004,0.0087,
0.288,339.0253,943.3444,777.2651,-89.998,-0.4795,179.7177,-0.281,-0.0243,-0.1853,0.003,0.0042,0.0167,
0.3,339.0247,943.3428,777.2631,-89.9979,-0.4797,179.7177,-0.1838,-0.2179,0.0551,0.0063,0.0033,0.007,
0.312,339.0247,943.3428,777.2631,-89.9979,-0.4797,179.7177,-0.2573,-0.0085,-0.0642,0.0046,0.0064,0.0124,
