time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,
0.0,338.9124,942.8513,777.2807,-89.9997,0.278,-179.629,0.0329,-0.005,-0.1353,-0.0168,0.0193,0.0131,
0.012,338.9124,942.8513,777.2807,-89.9997,0.278,-179.629,0.0301,-0.2523,-0.016,-0.0169,0.0197,0.0076,
0.024,338.9124,942.8513,777.2807,-89.9997,0.278,-179.629,-0.0805,-0.1089,0.2073,-0.0119,0.014,0.0116,
0.036,338.9125,942.8516,777.2784,-89.9997,0.2778,-179.6291,-0.0395,-0.0387,-0.0908,-0.0156,0.0244,0.0153,
0.048,338.9125,942.8516,777.2784,-89.9997,0.2778,-179.6291,0.1113,-0.2616,0.3309,-0.0141,0.017,0.0113,
0.06,338.9122,942.851,777.283,-89.9997,0.2781,-179.629,-0.0172,-0.1406,-0.1333,-0.0183,0.0201,0.0145,
0.072,338.9124,942.8513,777.2807,-89.9997,0.278,-179.629,0.1169,-0.2155,0.1144,-0.0076,0.0136,0.0101,
0.084,338.9124,942.8513,777.2807,-89.9997,0.278,-179.629,-0.1348,-0.1534,-0.0025,-0.0153,0.0215,0.0158,
0.096,338.9124,942.8513,777.2807,-89.9997,0.278,-179.629,0.0647,-0.1838,0.1086,-0.0072,0.0192,0.0066,
0.108,338.9124,942.8513,777.2807,-89.9997,0.278,-179.629,0.0104,-0.1539,-0.1793,-0.0141,0.0207,0.0137,
0.12,338.9125,942.8516,777.2784,-89.9997,0.2778,-179.6291,0.0724,-0.0799,0.25,-0.0073,0.0114,0.0134,
0.132,338.9125,942.8516,777.2784,-89.9997,0.2778,-179.6291,-0.0571,-0.0274,0.0387,-0.011,0.0221,0.016,
0.144,338.9124,942.8513,777.2807,-89.9997,0.278,-179.629,-0.0995,-0.2298,-0.1435,-0.0209,0.0288,0.0084,
0.156,338.9125,942.8516,777.2784,-89.9997,0.2778,-179.6291,0.0155,-0.2705,0.1619,-0.0126,0.014,0.0115,
0.168,338.9125,942.8516,777.2784,-89.9997,0.2778,-179.6291,-0.038,-0.1268,-0.1328,-0.0151,0.0204,0.0153,
0.18,338.9125,942.8516,777.2784,-89.9997,0.2778,-179.6291,0.1124,-0.2109,0.0713,-0.0105,0.017,0.0101,
0.192,338.9125,942.8516,777.2784,-89.9997,0.2778,-179.6291,-0.0162,-0.1361,-0.0878,-0.0183,0.0218,0.0169,
0.204,338.9125,942.8516,777.2784,-89.9997,0.2778,-179.6291,0.0651,-0.0787,0.2001,-0.0103,0.0148,0.0084,
0.216,338.9125,942.8516,777.2784,-89.9997,0.2778,-179.6291,-0.0927,-0.1507,-0.006,-0.0199,0.0235,0.0134,
0.228,338.9125,942.8516,777.2784,-89.9997,0.2778,-179.6291,0.1448,-0.1212,0.1115,-0.0035,0.0132,0.0085,
0.24,338.9125,942.8516,777.2784,-89.9997,0.2778,-179.6291,-0.0426,-0.0689,-0.1779,-0.0174,0.0237,0.0138,
0.252,338.9125,942.8516,777.2784,-89.9997,0.2778,-179.6291,-0.042,-0.2381,0.0329,-0.018,0.0197,0.0108,
0.264,338.9125,942.8516,777.2784,-89.9997,0.2778,-179.6291,-0.0741,-0.1198,-0.0014,-0.0046,0.0233,0.02,
0.276,338.9103,942.8523,777.2784,-89.9998,0.2779,-179.6294,-0.0848,-0.1519,0.0348,-0.0125,0.0226,0.0133,
0.288,338.9125,942.8516,777.2784,-89.9997,0.2778,-179.6291,0.0207,-0.1845,0.2069,-0.0085,0.0155,0.014,
0.3,338.912,942.8502,777.2742,-89.9997,0.2775,-179.6292,0.0404,-0.0059,-0.004,-0.0123,0.0167,0.0154,
0.312,338.912,942.8502,777.2742,-89.9997,0.2775,-179.6292,-0.0573,-0.2244,0.1221,-0.0119,0.0182,0.014,
0.324,338.91,942.8516,777.2722,-89.9998,0.2778,-179.6295,-0.0886,-0.1525,0.0793,-0.0169,0.0218,0.0133,
0.336,338.9089,942.8483,777.2683,-89.9998,0.2774,-179.6296,-0.0319,-0.183,0.2035,-0.01,0.0186,0.0114,
0.348,338.9072,942.8436,777.2602,-89.9998,0.2768,-179.6299,-0.0416,-0.1236,0.0008,-0.0211,0.0203,0.0177,
0.36,338.906,942.8404,777.2563,-89.9998,0.2764,-179.63,-0.0079,-0.2302,0.0718,-0.0091,0.016,0.0092,
0.372,338.9038,942.8341,777.2462,-89.9998,0.2756,-179.6303,-0.0396,-0.1486,-0.004,-0.0169,0.0229,0.0159,
0.384,338.9028,942.8314,777.2403,-89.9998,0.2755,-179.6303,0.1405,-0.2233,0.0723,-0.0077,0.0167,0.0117,
0.396,338.9006,942.8251,777.2302,-89.9998,0.2747,-179.6306,0.1382,-0.122,-0.015,-0.0094,0.0133,0.0087,
0.408,338.8989,942.8205,777.222,-89.9998,0.274,-179.6308,-0.1849,-0.1252,0.0827,-0.0164,0.0228,0.0149,
0.42,338.8974,942.8161,777.2142,-89.9998,0.2737,-179.631,0.1647,-0.1824,0.2878,-0.0103,0.0146,0.0115,
0.432,338.8957,942.8115,777.2061,-89.9998,0.273,-179.6312,-0.0522,-0.0348,0.0397,-0.0081,0.017,0.016,
0.444,338.894,942.8068,777.1979,-89.9998,0.2724,-179.6314,0.0599,-0.289,0.2427,-0.0144,0.0194,0.0097,
0.456,338.8932,942.8045,777.1898,-89.9998,0.2721,-179.6315,0.0366,-0.1976,-0.0073,-0.0147,0.017,0.0135,
