time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,
0.0,338.9182,942.6273,777.9274,-89.7453,0.383,179.9648,-0.172,-0.0436,-0.4912,-0.0019,0.019,0.017,
0.012,338.9182,942.6273,777.9274,-89.7443,0.383,179.9648,-0.097,-0.0998,-0.2852,-0.0013,0.0089,0.0094,
0.024,338.9188,942.6289,777.9294,-89.7443,0.3832,179.9648,-0.2252,-0.1048,-0.3599,-0.0085,0.0146,0.0159,
0.036,338.9188,942.6289,777.9294,-89.7453,0.3832,179.9648,-0.1211,-0.1868,-0.1142,-0.0008,0.0135,0.0106,
0.048,338.9182,942.6273,777.9274,-89.7453,0.383,179.9648,-0.2499,-0.0219,-0.5381,-0.006,0.0106,0.0097,
0.06,338.9182,942.6273,777.9274,-89.7453,0.383,179.9648,-0.0451,-0.149,-0.1956,-0.0004,0.0092,0.0133,
0.072,338.9188,942.6289,777.9294,-89.7453,0.3832,179.9648,-0.1777,-0.0196,-0.3261,-0.0062,0.0181,0.011,
0.084,338.9181,942.627,777.9297,-89.7453,0.3832,179.9648,-0.12,-0.0319,-0.3293,0.0011,0.0099,0.0086,
0.096,338.9187,942.6286,777.9316,-89.7443,0.3833,179.9649,-0.0661,-0.0789,-0.3612,0.002,0.0102,0.0178,
0.108,338.9188,942.6289,777.9294,-89.7453,0.3832,179.9648,-0.1497,-0.1256,-0.4596,-0.0015,0.013,0.0078,
0.12,338.9182,942.6273,777.9274,-89.7443,0.383,179.9648,-0.1045,-0.1379,-0.4155,-0.0077,0.004,0.0055,
0.132,338.9188,942.6289,777.9294,-89.7453,0.3832,179.9648,-0.2989,-0.019,-0.53,-0.0088,0.0112,0.0147,
0.144,338.9188,942.6289,777.9294,-89.7453,0.3832,179.9648,-0.119,0.0135,-0.2857,0.0002,0.004,0.0071,
0.156,338.9182,942.6273,777.9274,-89.7453,0.383,179.9648,-0.204,0.0656,-0.6158,-0.0109,0.0116,0.015,
0.168,338.9188,942.6289,777.9294,-89.7453,0.3832,179.9648,-0.0524,-0.0195,-0.1535,-0.0078,0.0057,0.0094,
0.18,338.9188,942.6289,777.9294,-89.7453,0.3832,179.9648,-0.1846,0.1252,-0.5258,-0.0192,0.0045,0.0143,
0.192,338.9188,942.6289,777.9294,-89.7453,0.3832,179.9648,-0.0857,0.0377,-0.156,-0.016,0.0009,0.0038,
0.204,338.9188,942.6289,777.9294,-89.7453,0.3832,179.9648,-0.2073,0.2303,-0.2691,-0.0179,0.0096,0.0147,
0.216,338.9182,942.6273,777.9274,-89.7453,0.383,179.9648,0.0057,0.1617,-0.1514,-0.0221,0.0071,0.0081,
0.228,338.9182,942.6273,777.9274,-89.7453,0.383,179.9648,0.0219,0.1315,-0.4068,-0.027,0.0146,0.0108,
0.24,338.9182,942.6273,777.9274,-89.7453,0.383,179.9648,-0.032,0.0061,-0.0645,-0.012,0.0112,0.0126,
0.252,338.9182,942.6273,777.9274,-89.7453,0.383,179.9648,-0.0925,-0.0618,-0.5397,-0.0187,0.0088,0.0074,
0.264,338.9183,942.6276,777.9251,-89.7453,0.3828,179.9647,-0.0881,-0.0142,-0.5321,-0.0151,0.0187,0.0164,
0.276,338.9177,942.6259,777.9232,-89.7453,0.3827,179.9647,-0.1949,-0.0378,-0.2378,-0.0019,0.0141,0.0125,
0.288,338.9177,942.6259,777.9232,-89.7453,0.3827,179.9647,-0.1782,0.034,-0.5252,-0.0113,0.0147,0.0197,
0.3,338.9177,942.6259,777.9232,-89.7453,0.3827,179.9647,-0.0013,-0.0674,-0.2407,-0.004,0.0094,0.0111,
0.312,338.918,942.6268,777.9189,-89.7453,0.3827,179.9647,-0.3085,0.0702,-0.3223,-0.0153,0.0169,0.0094,
