time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,
0.0,339.37,944.1317,771.6659,-131.5827,0.0033,179.9982,3.8603,-8.5763,-31.119,1.0407,0.6972,0.1821,
0.012,339.3693,944.1298,771.6662,-131.5838,0.0033,179.9982,3.8282,-8.3979,-30.4207,1.0161,0.6584,0.1738,
0.024,339.3692,944.1295,771.6685,-131.5848,0.0034,179.9981,3.8273,-8.3303,-31.0197,0.9976,0.6626,0.1715,
0.036,339.3677,944.1253,771.6688,-131.5859,0.0031,179.9983,3.5716,-8.3002,-30.4024,0.9939,0.636,0.1726,
0.048,339.3677,944.1253,771.6688,-131.5859,0.0031,179.9983,3.3635,-8.3428,-30.5638,0.9954,0.6042,0.169,
0.06,339.3671,944.1237,771.6669,-131.588,0.0029,179.9983,3.3803,-8.269,-30.9974,0.9783,0.6374,0.1709,
0.072,339.3697,944.1225,771.6691,-131.604,0.0031,179.9983,3.3499,-8.1137,-30.6056,0.9609,0.6047,0.1613,
0.084,339.368,944.1188,771.6672,-131.6378,0.0025,179.9985,2.9198,-8.1677,-30.4588,0.9804,0.5822,0.1676,
0.096,339.3675,944.1192,771.6672,-131.6958,0.0025,179.9985,3.2309,-8.0981,-29.7506,0.9716,0.5614,0.1482,
0.108,339.3667,944.1198,771.6672,-131.7729,0.0025,179.9985,2.9499,-7.9436,-30.1858,0.9695,0.5755,0.1428,
0.12,339.3656,944.1203,771.6695,-131.8817,0.0027,179.9984,3.0186,-7.9281,-30.5029,0.971,0.5656,0.1285,
0.132,339.3636,944.1191,771.6695,-132.0199,0.0023,179.9986,2.435,-7.9263,-29.9596,0.978,0.5421,0.1377,
0.144,339.362,944.1203,771.6695,-132.1846,0.0023,179.9986,2.9698,-7.9199,-29.602,0.965,0.5658,0.1272,
0.156,339.3631,944.1204,771.6718,-132.3706,0.0025,179.9985,2.4962,-7.6842,-29.5019,0.9463,0.5416,0.1201,
0.168,339.3614,944.1218,771.6718,-132.5617,0.0025,179.9985,2.6785,-7.7424,-29.1564,0.9528,0.5403,0.1255,
0.18,339.358,944.1195,771.6698,-132.7781,0.002,179.9987,2.5283,-7.6968,-29.8078,0.9581,0.5447,0.1196,
0.192,339.3587,944.1203,771.6698,-133.018,0.002,179.9987,2.456,-7.656,-28.9558,0.9511,0.5259,0.1079,
0.204,339.3558,944.1205,771.6679,-133.2682,0.0018,179.9987,2.3352,-7.5362,-28.8627,0.9453,0.5078,0.1049,
0.216,339.3563,944.1211,771.6702,-133.5196,0.0019,179.9987,2.3598,-7.5699,-28.3422,0.9597,0.4975,0.1101,
0.228,339.3541,944.1231,771.6702,-133.7709,0.0019,179.9987,2.2926,-7.4763,-28.4684,0.9416,0.4905,0.1047,
0.24,339.3542,944.1222,771.6682,-134.016,0.0018,179.9987,1.8719,-7.4063,-28.9228,0.9494,0.4569,0.1041,
0.252,339.3548,944.1228,771.6705,-134.26,0.0019,179.9987,1.8218,-7.1739,-28.0201,0.9387,0.4443,0.0983,
0.264,339.3541,944.1197,771.6686,-134.4988,0.0014,179.9989,1.8585,-7.1673,-28.3109,0.9268,0.4472,0.1038,
