time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,
0.0,339.6567,944.1358,771.9413,-124.8117,0.0009,179.9992,3.1863,-6.3077,-26.6881,0.8101,0.6308,0.103,
0.012,339.6567,944.1358,771.9413,-124.8127,0.0009,179.9992,3.5155,-6.2443,-26.6868,0.7969,0.6292,0.1042,
0.024,339.6581,944.1306,771.9417,-124.814,0.0005,179.9993,3.0732,-6.0986,-26.2404,0.7844,0.6206,0.1062,
0.036,339.6574,944.1286,771.942,-124.815,0.0005,179.9993,3.2356,-6.0751,-25.515,0.7889,0.5942,0.0991,
0.048,339.6573,944.1284,771.9443,-124.8171,0.0007,179.9993,2.9282,-6.1124,-26.1535,0.78,0.598,0.098,
0.06,339.6566,944.1265,771.9446,-124.8182,0.0007,179.9993,3.0712,-6.1764,-25.9365,0.7716,0.587,0.0972,
0.072,339.6565,944.1265,771.9446,-124.8192,0.0007,179.9993,2.8669,-6.1176,-25.9334,0.7846,0.5844,0.0987,
0.084,339.6558,944.1245,771.945,-124.8235,0.0007,179.9993,2.9134,-5.9666,-25.5824,0.7744,0.5717,0.0987,
0.096,339.657,944.1194,771.9453,-124.8416,0.0003,179.9994,2.6774,-5.9796,-25.5255,0.7552,0.5735,0.1027,
0.108,339.656,944.118,771.9434,-124.8806,0.0001,179.9994,2.6838,-6.0719,-24.8451,0.7525,0.5474,0.0913,
0.12,339.6554,944.1181,771.9456,-124.9345,0.0003,179.9994,2.4596,-5.9067,-25.6748,0.758,0.5383,0.0752,
0.132,339.6545,944.1186,771.9456,-125.0253,0.0003,179.9994,2.3463,-5.9513,-25.4879,0.7723,0.5281,0.0541,
0.144,339.6525,944.1175,771.946,-125.1467,0.0003,179.9994,2.2597,-5.8197,-25.1704,0.7487,0.5127,0.0559,
0.156,339.6513,944.1182,771.946,-125.2723,0.0003,179.9994,2.0702,-5.8621,-24.8173,0.7665,0.4932,0.0596,
0.168,339.652,944.1165,771.944,-125.4319,0.0001,179.9994,1.9424,-5.6894,-25.2861,0.7405,0.4886,0.0523,
0.18,339.65,944.1174,771.9463,-125.6156,0.0003,179.9994,1.7859,-6.043,-24.9342,0.7664,0.4692,0.0589,
0.192,339.6475,944.117,771.9444,-125.8046,0.0001,179.9994,1.8234,-5.8021,-25.3122,0.735,0.4758,0.059,
0.204,339.6469,944.1134,771.9424,-126.0148,-0.0004,179.9996,1.5326,-6.0447,-24.763,0.7786,0.4638,0.0568,
0.216,339.6459,944.1185,771.9466,-126.2513,0.0003,179.9994,1.3324,-5.6109,-24.3587,0.7409,0.4525,0.0546,
0.228,339.6442,944.1136,771.9428,-126.5102,-0.0004,179.9996,1.3758,-5.9227,-24.6556,0.7551,0.4359,0.0573,
0.24,339.6453,944.1162,771.945,-126.7701,0.0001,179.9994,1.2109,-5.842,-24.5107,0.752,0.4251,0.0631,
0.252,339.6443,944.1129,771.9431,-127.0194,-0.0004,179.9996,1.1093,-5.9584,-24.8115,0.7508,0.4249,0.0617,
0.264,339.6447,944.1132,771.9454,-127.2645,-0.0003,179.9995,1.1939,-6.1155,-24.5728,0.765,0.4216,0.0521,
0.276,339.6446,944.1121,771.9434,-127.5096,-0.0004,179.9996,0.8972,-5.6562,-24.1571,0.7443,0.399,0.0573,
0.288,339.645,944.1124,771.9457,-127.7515,-0.0003,179.9996,0.9883,-5.9718,-23.8113,0.7552,0.3916,0.0624,
0.3,339.6449,944.1113,771.9438,-127.9956,-0.0004,179.9996,1.1441,-5.4914,-24.578,0.7251,0.4042,0.0625,
0.312,339.6454,944.1116,771.9461,-128.2354,-0.0003,179.9996,0.8211,-5.9149,-24.0325,0.7592,0.3752,0.0513,
0.324,339.6453,944.1106,771.9441,-128.4774,-0.0004,179.9996,0.7216,-5.6762,-24.317,0.7369,0.3969,0.0617,
0.336,339.6452,944.1093,771.9444,-128.7193,-0.0004,179.9996,0.9731,-5.7766,-24.033,0.7636,0.3732,0.0524,
0.348,339.6458,944.1099,771.9444,-128.9581,-0.0004,179.9996,0.7752,-5.6035,-23.5832,0.7317,0.3841,0.061,
0.36,339.6458,944.1088,771.9425,-129.1958,-0.0006,179.9997,0.4783,-5.9655,-23.5767,0.7428,0.3581,0.059,
0.372,339.6464,944.1095,771.9425,-129.4409,-0.0006,179.9997,0.6191,-5.6937,-24.2609,0.725,0.3846,0.0643,
0.384,339.6492,944.1071,771.9428,-129.682,-0.0006,179.9997,0.9263,-5.7166,-23.9369,0.7376,0.3668,0.0518,
0.396,339.6499,944.1081,771.9432,-129.9239,-0.0002,179.9996,0.5955,-5.3966,-24.3809,0.6974,0.3667,0.0578,
0.408,339.6497,944.1065,771.9432,-130.1627,-0.0006,179.9997,0.8111,-5.7285,-23.4484,0.7064,0.3385,0.0483,
0.42,339.6505,944.1075,771.9435,-130.3983,-0.0002,179.9996,0.5547,-5.1887,-23.2275,0.6924,0.3388,0.0444,
0.432,339.6503,944.1059,771.9435,-130.635,-0.0006,179.9997,0.6067,-5.1247,-23.671,0.6605,0.3146,0.0516,
0.444,339.651,944.1069,771.9438,-130.8832,-0.0003,179.9996,0.4104,-5.2539,-23.9378,0.6682,0.3273,0.0481,
0.456,339.651,944.106,771.9419,-131.1262,-0.0004,179.9997,0.5046,-5.0639,-23.8399,0.6346,0.3139,0.0462,
0.468,339.6515,944.1065,771.9442,-131.3703,-0.0003,179.9996,0.3051,-4.8964,-23.6755,0.6548,0.3127,0.0418,
0.48,339.6522,944.1072,771.9442,-131.6133,-0.0003,179.9996,0.4856,-4.8498,-23.398,0.6044,0.29,0.0415,
0.492,339.6521,944.106,771.9445,-131.8542,-0.0003,179.9996,0.3175,-4.8141,-23.5114,0.6023,0.2869,0.0491,
0.504,339.6514,944.1028,771.9426,-132.0919,-0.0008,179.9998,0.4856,-4.8448,-23.5631,0.6001,0.2758,0.0412,
0.516,339.6514,944.1016,771.9429,-132.3349,-0.0008,179.9998,0.2241,-4.791,-23.6961,0.5892,0.2838,0.0345,
0.528,339.6529,944.1046,771.9429,-132.5726,-0.0004,179.9997,0.3877,-4.5969,-23.2405,0.5616,0.2477,0.0392,
0.54,339.6529,944.1034,771.9432,-132.8114,-0.0004,179.9997,0.2787,-4.4626,-23.0218,0.5485,0.247,0.0374,
0.552,339.6536,944.1042,771.9432,-133.0523,-0.0004,179.9997,0.2576,-4.6117,-23.1523,0.5497,0.2324,0.0326,
0.564,339.6537,944.103,771.9436,-133.2879,-0.0004,179.9997,0.309,-4.3613,-23.0177,0.5288,0.2413,0.0344,
0.576,339.6545,944.1038,771.9436,-133.5224,-0.0004,179.9997,0.3624,-4.5651,-23.2214,0.5279,0.2301,0.0405,
0.588,339.6516,944.1037,771.9439,-133.7652,-0.0004,179.9997,0.2807,-4.1315,-23.4391,0.5019,0.2345,0.0306,
0.6,339.6546,944.1018,771.942,-134.0084,-0.0006,179.9998,-0.0735,-3.9946,-23.5937,0.4804,0.2065,0.0255,
0.612,339.6552,944.1024,771.9443,-134.2482,-0.0004,179.9997,0.1615,-4.0315,-22.5247,0.4615,0.19,0.0179,
0.624,339.6549,944.0998,771.9404,-134.4828,-0.0008,179.9999,0.0135,-3.9581,-23.2509,0.4687,0.2087,0.0243,
0.636,339.6527,944.1014,771.9426,-134.7182,-0.0006,179.9998,-0.0409,-3.733,-23.1958,0.4522,0.1778,0.0194,
0.648,339.6529,944.1005,771.9407,-134.9549,-0.0008,179.9999,-0.0645,-3.8084,-22.9714,0.426,0.1788,0.0215,
0.66,339.6529,944.0995,771.941,-135.2021,-0.0008,179.9999,0.1648,-3.6428,-22.6715,0.4291,0.1649,0.0201,
0.672,339.6536,944.1004,771.941,-135.4462,-0.0008,179.9999,-0.1316,-3.3702,-23.1868,0.409,0.168,0.011,
0.684,339.6537,944.0994,771.9414,-135.6892,-0.0008,179.9999,-0.0624,-3.4745,-22.5217,0.3854,0.1343,0.014,
0.696,339.6539,944.0986,771.9394,-135.9311,-0.0009,180.0,0.0137,-3.3173,-23.3374,0.3753,0.1518,0.0161,
0.708,339.6546,944.0992,771.9417,-136.1751,-0.0008,179.9999,-0.1044,-3.4146,-23.236,0.3685,0.1315,0.0194,
0.72,339.6547,944.0982,771.942,-136.4129,-0.0008,179.9999,-0.1168,-3.1695,-22.9709,0.3521,0.1285,0.0195,
0.732,339.6549,944.0974,771.9401,-136.6548,-0.0009,-180.0,-0.1654,-3.032,-22.8467,0.3299,0.1237,0.0089,
0.744,339.6557,944.098,771.9424,-136.8904,-0.0008,179.9999,-0.1735,-3.054,-22.355,0.3312,0.1094,0.02,
0.756,339.653,944.0983,771.9404,-137.129,-0.0009,-180.0,-0.1824,-2.7418,-22.4886,0.3006,0.0964,0.0044,
0.768,339.6561,944.0963,771.9408,-137.3669,-0.0009,-180.0,-0.2173,-2.7084,-23.0501,0.2967,0.0977,0.0002,
0.78,339.6534,944.0963,771.9411,-137.6055,-0.0009,-180.0,-0.3603,-2.4597,-23.0254,0.2673,0.0887,0.0065,
0.792,339.6543,944.0972,771.9411,-137.839,-0.0009,-179.9999,-0.2916,-2.5961,-22.6896,0.2609,0.0788,-0.0013,
0.804,339.6544,944.0963,771.9414,-138.0852,-0.0009,-179.9999,-0.208,-2.2856,-22.9325,0.2214,0.0747,-0.001,
0.816,339.6547,944.0956,771.9395,-138.326,-0.0011,-179.9998,-0.1498,-2.438,-22.464,0.2283,0.0775,0.0005,
0.828,339.6549,944.0946,771.9398,-138.5659,-0.0011,-179.9998,-0.2623,-2.222,-22.6987,0.2045,0.0583,0.004,
0.84,339.6566,944.0975,771.9421,-138.7983,-0.0006,179.9999,0.1469,-2.3414,-22.7282,0.2127,0.0764,-0.0053,
0.852,339.6541,944.0978,771.9402,-139.0316,-0.0007,180.0,0.0299,-2.1115,-22.8419,0.1889,0.0672,-0.0046,
0.864,339.6543,944.0969,771.9405,-139.2715,-0.0007,180.0,-0.0365,-2.2048,-22.4465,0.1849,0.0479,-0.0042,
0.876,339.6544,944.0961,771.9408,-139.5219,-0.0007,180.0,-0.0801,-1.8374,-22.8736,0.1506,0.0612,-0.009,
0.888,339.6553,944.0971,771.9408,-139.7649,-0.0007,-180.0,-0.1141,-1.9179,-22.3114,0.1542,0.0406,-0.0104,
0.9,339.6556,944.0962,771.9412,-140.0079,-0.0007,-180.0,-0.2541,-1.739,-22.6848,0.1373,0.0445,-0.0064,
0.912,339.6558,944.0953,771.9415,-140.2519,-0.0007,-180.0,-0.2454,-1.7649,-22.343,0.1355,0.0099,-0.017,
0.924,339.6561,944.0947,771.9396,-140.4939,-0.0009,-179.9999,-0.2714,-1.8151,-22.621,0.1097,0.0261,-0.0019,
0.936,339.6541,944.0965,771.9419,-140.7314,-0.0007,-180.0,-0.2022,-1.5978,-22.3009,0.1105,0.0207,-0.0202,
0.948,339.6545,944.0959,771.9399,-140.9733,-0.0009,-179.9999,-0.3538,-1.1504,-22.611,0.0702,0.0007,-0.0146,
