time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,
0.0,338.3166,943.1832,777.2633,-89.9922,0.0943,179.991,-0.165,-0.1407,0.1657,0.006,0.0206,0.0173,
0.012,338.3137,943.1842,777.2633,-89.992,0.0943,179.991,-0.0437,-0.2667,0.3329,0.0043,0.0159,0.0146,
0.024,338.316,943.1816,777.2613,-89.9922,0.0941,179.9909,-0.2525,-0.1608,-0.0049,-0.006,0.0199,0.0142,
0.036,338.3137,943.1842,777.2633,-89.992,0.0943,179.991,-0.0647,-0.2834,0.2453,0.0086,0.0154,0.0138,
0.048,338.3137,943.1842,777.2633,-89.992,0.0943,179.991,-0.0852,-0.2437,0.0788,-0.0088,0.0239,0.0157,
0.06,338.3137,943.1842,777.2633,-89.992,0.0943,179.991,-0.0467,-0.223,0.2835,0.0033,0.0117,0.0082,
0.072,338.3137,943.1842,777.2633,-89.992,0.0943,179.991,-0.1191,-0.2504,0.0809,0.0031,0.0194,0.0182,
0.084,338.3137,943.1842,777.2633,-89.992,0.0943,179.991,-0.0332,-0.2493,0.1181,-0.006,0.02,0.0133,
0.096,338.3137,943.1842,777.2633,-89.992,0.0943,179.991,-0.0808,-0.1682,0.1191,-0.0049,0.0204,0.0133,
0.108,338.3137,943.1842,777.2633,-89.992,0.0943,179.991,-0.1959,-0.1815,0.1675,-0.0004,0.0209,0.0173,
0.12,338.3131,943.1826,777.2613,-89.992,0.0941,179.9909,-0.051,-0.2985,0.2432,-0.0006,0.0152,0.0106,
0.132,338.3131,943.1826,777.2613,-89.992,0.0941,179.9909,-0.111,-0.1016,0.0734,-0.0086,0.0215,0.0101,
0.144,338.3137,943.1842,777.2633,-89.992,0.0943,179.991,-0.0979,-0.2634,0.3338,-0.0001,0.019,0.0145,
0.156,338.3137,943.1842,777.2633,-89.992,0.0943,179.991,-0.1386,-0.1721,0.0332,-0.0123,0.0202,0.011,
0.168,338.3137,943.1842,777.2633,-89.992,0.0943,179.991,-0.0472,-0.2675,0.2868,0.0027,0.0168,0.0122,
0.18,338.3137,943.1842,777.2633,-89.992,0.0943,179.991,-0.2033,-0.2035,0.1263,-0.0066,0.0244,0.0181,
0.192,338.3131,943.1826,777.2613,-89.992,0.0941,179.9909,-0.0474,-0.22,0.4162,0.0003,0.0117,0.0105,
0.204,338.3131,943.1826,777.2613,-89.9931,0.0941,179.9909,-0.2205,-0.1683,0.2126,-0.0017,0.0204,0.018,
0.216,338.316,943.1816,777.2613,-89.9933,0.0941,179.9909,0.0237,-0.2827,0.2001,0.001,0.0152,0.0115,
0.228,338.3131,943.1826,777.2613,-89.992,0.0941,179.9909,-0.084,-0.2526,0.0682,-0.0045,0.0214,0.0083,
0.24,338.3131,943.1826,777.2613,-89.992,0.0941,179.9909,-0.0433,-0.2124,0.3779,0.0034,0.015,0.0155,
0.252,338.3131,943.1826,777.2613,-89.9931,0.0941,179.9909,0.0538,-0.2698,0.0709,0.0071,0.0149,0.0126,
0.264,338.3131,943.1826,777.2613,-89.9931,0.0941,179.9909,-0.0578,-0.1262,0.0764,-0.0059,0.0209,0.0135,
0.276,338.3127,943.1812,777.2571,-89.992,0.0938,179.9908,-0.1184,-0.252,0.4641,0.0015,0.0167,0.0152,
0.288,338.3154,943.1799,777.2594,-89.9933,0.094,179.9908,-0.1333,-0.1661,0.0812,-0.0093,0.0218,0.0158,
0.3,338.312,943.1796,777.2551,-89.9931,0.0937,179.9907,-0.052,-0.2458,0.2849,-0.0015,0.0143,0.0089,
