time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,
0.0,339.2011,942.9753,776.6383,-89.991,-0.3853,179.6819,0.0429,-0.2224,0.1563,-0.005,0.0172,0.0006,
0.012,339.2011,942.9753,776.6383,-89.991,-0.3853,179.6819,0.1629,-0.3294,0.0721,-0.0094,0.0076,0.0001,
0.024,339.2033,942.9745,776.6383,-89.9909,-0.3854,179.6823,0.0878,-0.2591,0.0716,-0.0099,0.0109,-0.0008,
0.036,339.2019,942.9775,776.6383,-89.9921,-0.3849,179.682,0.0692,-0.2455,0.0803,-0.0082,0.0085,0.0051,
0.048,339.2019,942.9775,776.6383,-89.991,-0.3849,179.682,0.111,-0.2765,0.0716,-0.0116,0.0081,-0.0015,
0.06,339.2019,942.9775,776.6383,-89.991,-0.3849,179.682,0.11,-0.2978,0.0754,-0.0134,0.0106,0.0017,
0.072,339.2041,942.9768,776.6383,-89.992,-0.385,179.6824,0.1289,-0.3332,0.1978,0.004,0.0055,-0.0002,
0.084,339.2019,942.9775,776.6383,-89.9921,-0.3849,179.682,0.0071,-0.1824,-0.2648,-0.0148,0.0185,0.0038,
0.096,339.2019,942.9775,776.6383,-89.991,-0.3849,179.682,0.0905,-0.3725,0.2403,-0.0084,0.0076,-0.0028,
0.108,339.2019,942.9775,776.6383,-89.991,-0.3849,179.682,0.0646,-0.164,-0.0893,-0.0116,0.0093,0.0054,
0.12,339.2041,942.9768,776.6383,-89.992,-0.385,179.6824,0.0855,-0.3453,0.0256,-0.011,0.0094,-0.0033,
0.132,339.2041,942.9768,776.6383,-89.992,-0.385,179.6824,-0.0574,-0.2591,0.0764,-0.0097,0.0126,0.0016,
0.144,339.2041,942.9768,776.6383,-89.992,-0.385,179.6824,0.0183,-0.2787,0.1143,-0.0071,0.0084,-0.0017,
0.156,339.2041,942.9768,776.6383,-89.992,-0.385,179.6824,0.0391,-0.2569,-0.1827,-0.0083,0.014,0.002,
0.168,339.2041,942.9768,776.6383,-89.9909,-0.385,179.6824,0.0926,-0.3137,0.3216,-0.0047,0.0109,-0.0045,
